pk,jsondata,key,description,sentence_pk,source_pk,version
277,,835,95,479,752,1
278,,531,177,482,472,1
279,,752,324,483,676,1
280,,752,324,484,676,1
281,,1023,73,486,926,1
282,,1024,545f,487,927,1
283,,381,7,491,346,1
284,,371,22,492,336,1
285,,132,989,494,119,1
286,,487,,499,442,1
287,,1048,144,501,949,1
288,,1048,144,502,949,1
289,,1048,144,503,949,1
290,,110,63,504,98,1
291,,229,23,505,211,1
292,,229,88,507,211,1
293,,955,182,510,859,1
294,,955,182,511,859,1
295,,955,182,512,859,1
296,,955,184,513,859,1
297,,423,201,517,388,1
298,,423,146,518,388,1
299,,1326,,524,1111,1
300,,857,329,528,771,1
301,,874,185,531,785,1
302,,1045,248,532,946,1
303,,458,267,533,415,1
304,,708,108,535,633,1
305,,708,114,536,633,1
306,,708,108,537,633,1
307,,1178,413,538,984,1
308,,920,363,544,825,1
309,,920,457,545,825,1
310,,675,25,547,603,1
311,,522,,548,464,1
312,,522,,549,464,1
313,,522,,550,464,1
314,,522,,551,464,1
315,,789,137,552,708,1
316,,522,,553,464,1
317,,522,,554,464,1
318,,1442,223,555,1210,1
319,,1442,225,556,1210,1
320,,1442,223,557,1210,1
321,,1442,228,558,1210,1
322,,1355,45,559,1136,1
323,,1355,163,560,1136,1
324,,1357,47,561,1138,1
325,,1355,130,562,1136,1
326,,1527,109,563,1285,1
327,,1355,244,564,1136,1
328,,1357,75,565,1138,1
329,,1062,39,566,961,1
330,,1062,39,567,961,1
331,,1062,40,568,961,1
332,,1585,47,569,1337,1
333,,1585,47,570,1337,1
334,,1585,33,571,1337,1
335,,354,8,574,322,1
336,,282,,576,254,1
337,,1281,130 (line 218),577,1072,1
338,,1244,A17,579,1039,1
339,,432,41,581,395,1
340,,439,237,582,402,1
341,,1054,,584,953,1
342,,1054,,585,953,1
343,,1500,268,587,1262,1
344,,893,31,588,799,1
345,,656,212,590,589,1
346,,656,213,591,589,1
347,,656,214,592,589,1
348,,462,151,594,419,1
349,,352,66,595,320,1
350,,63,444,596,59,1
351,,1634,361,597,1368,1
352,,1634,399,598,1368,1
353,,1634,461,599,1368,1
354,,1489,VI.41,600,1253,1
355,,1489,VI.51,601,1253,1
356,,1489,VI.55,602,1253,1
357,,1489,VI.32,603,1253,1
358,,1568,60,604,1320,1
359,,584,Vunak11\JosephB\enb\m20\islan,605,518,1
360,,584,,606,518,1
361,,584,,607,518,1
362,,942,,608,846,1
363,,1533,,609,1291,1
364,,9,,613,8,1
365,,1332,61,616,1114,1
366,,1332,61,619,1114,1
367,,1545,85,620,1298,1
368,,355,14,621,323,1
369,,737,201,622,661,1
370,,737,195,623,661,1
371,,737,213,624,661,1
372,,737,224,625,661,1
373,,1407,27,629,1175,1
374,,1456,,632,1224,1
375,,901,126,638,807,1
376,,905,198,639,811,1
377,,221,181,643,203,1
378,,221,134,644,203,1
379,,221,187,645,203,1
380,,267,171,646,240,1
381,,267,171,647,240,1
382,,1419,150,648,1187,1
383,,1416,5309,649,1184,1
384,,1416,5105,650,1184,1
385,,122,163,651,110,1
386,,122,164,652,110,1
387,,906,30,653,812,1
388,,426,12,655,391,1
389,,830,376,656,747,1
390,,731,52,657,655,1
391,,752,329,658,676,1
392,,869,22,659,780,1
393,,869,23,660,780,1
394,,371,22,662,336,1
395,,1211,,670,1010,1
396,,1048,311,671,949,1
397,,110,34,674,98,1
398,,955,182,678,859,1
399,,857,241,688,771,1
400,,857,241,689,771,1
401,,874,123,690,785,1
402,,874,123,691,785,1
403,,1195,235,692,1001,1
404,,708,84,694,633,1
405,,708,84,695,633,1
406,,708,84,696,633,1
407,,708,459,697,633,1
408,,1178,400,698,984,1
409,,920,376,705,825,1
410,,920,380,706,825,1
411,,1033,63,708,936,1
412,,154,213,710,141,1
413,,92,110,711,84,1
414,,522,,712,464,1
415,,522,,713,464,1
416,,522,,714,464,1
417,,1442,225,715,1210,1
418,,1442,225,716,1210,1
419,,1527,91,717,1285,1
420,,1576,140,718,1328,1
421,,1355,158,719,1136,1
422,,1576,122,720,1328,1
423,,1527,87,721,1285,1
424,,1585,19,722,1337,1
425,,1585,19,723,1337,1
426,,1585,19,724,1337,1
427,,568,67,729,504,1
428,,1281,130 (line 228),730,1072,1
429,,1281,241 (line 1226),731,1072,1
430,,1281,180 (line 737),732,1072,1
431,,1281,"178, line 701",733,1072,1
432,,1281,175,734,1072,1
433,,1431,,735,1199,1
434,,1244,176,737,1039,1
435,,439,237,740,402,1
436,,432,36,741,395,1
437,,432,36,742,395,1
438,,432,36,743,395,1
439,,113,60,744,101,1
440,,1054,,746,953,1
441,,1500,272,748,1262,1
442,,1500,272,749,1262,1
443,,686,80,750,614,1
444,,656,194,752,589,1
445,,656,194,753,589,1
446,,656,194,754,589,1
447,,462,70,755,419,1
448,,125,13,756,113,1
449,,125,12,757,113,1
450,,1634,317,758,1368,1
451,,1634,318,759,1368,1
452,,1489,VI.44,760,1253,1
453,,584,WNB M12,762,518,1
454,,1425,154,763,1193,1
455,,1425,217,764,1193,1
456,,942,,765,846,1
457,,1055,2,768,954,1
458,,1332,65,773,1114,1
459,,40,,774,38,1
460,,355,19,775,323,1
461,,355,32,776,323,1
462,,737,156,777,661,1
463,,737,157,778,661,1
464,,786,,781,705,1
465,,689,,782,616,1
466,,690,,783,617,1
467,,1456,,784,1224,1
468,,1456,,785,1224,1
469,,901,42,791,807,1
470,,905,35,792,811,1
471,,221,120,795,203,1
472,,221,177,796,203,1
473,,218,,797,201,1
474,,1416,5073,800,1184,1
475,,1416,5298,801,1184,1
476,,122,87,802,110,1
477,,122,88,803,110,1
478,,906,25,804,812,1
479,,906,26,805,812,1
480,,906,26,806,812,1
481,,1064,9,808,963,1
482,,835,69,809,752,1
483,,731,37,815,655,1
484,,556,30,816,493,1
485,,371,12,819,336,1
486,,1048,135,824,949,1
487,,1049,11,825,950,1
488,,1048,136,826,949,1
489,,1049,11,827,950,1
490,,722,182,828,646,1
491,,722,182-183,829,646,1
492,,722,182,830,646,1
493,,236,359,831,218,1
494,,236,359,832,218,1
495,,230,58,833,212,1
496,,230,59,834,212,1
497,,230,57,835,212,1
498,,229,164,836,211,1
499,,766,,838,689,1
500,,955,201,840,859,1
501,,955,184,841,859,1
502,,423,121f.,843,388,1
503,,423,122,844,388,1
504,,1326,,850,1111,1
505,,14,183,853,12,1
506,,857,329,855,771,1
507,,874,72,856,785,1
508,,874,105,857,785,1
509,,1195,222,858,1001,1
510,,1195,238,859,1001,1
511,,1195,221,860,1001,1
512,,708,77,862,633,1
513,,708,111,863,633,1
514,,708,111,864,633,1
515,,1178,410,866,984,1
516,,1528,146,867,1286,1
517,,920,298,872,825,1
518,,920,388,873,825,1
519,,154,213,876,141,1
520,,522,,877,464,1
521,,522,,878,464,1
522,,92,109,879,84,1
523,,92,109,880,84,1
524,,522,,881,464,1
525,,1442,230,882,1210,1
526,,1442,225,883,1210,1
527,,1442,226,884,1210,1
528,,1442,226,885,1210,1
529,,1357,23,886,1138,1
530,,1062,33,887,961,1
531,,1281,148 (line 392),890,1072,1
532,,1281,144 (line 307),891,1072,1
533,,1244,200,894,1039,1
534,,1244,171,895,1039,1
535,,438,,897,401,1
536,,1054,,899,953,1
537,,1054,,900,953,1
538,,1500,264,902,1262,1
539,,1283,7,904,1074,1
540,,462,231,908,419,1
541,,1488,16,909,1252,1
542,,1634,632,910,1368,1
543,,1489,VI.4,911,1253,1
544,,1489,VI.76,912,1253,1
545,,967,197,913,871,1
546,,942,,914,846,1
547,,791,,916,709,1
548,,659,30,923,592,1
549,,40,,924,38,1
550,,659,74,925,592,1
551,,41,,926,39,1
552,,1545,52,927,1298,1
553,,355,15,928,323,1
554,,737,158,929,661,1
555,,1407,238,931,1175,1
556,,839,,932,755,1
557,,880,,933,789,1
558,,901,47,941,807,1
559,,221,225,945,203,1
560,,221,189,946,203,1
561,,265,164-67,947,239,1
562,,1416,5421,948,1184,1
563,,1416,1372,949,1184,1
564,,122,85,950,110,1
565,,906,134,951,812,1
566,,835,69,953,752,1
567,,752,324,955,676,1
568,,371,14,957,336,1
569,,1048,378,961,949,1
570,,955,182,964,859,1
571,,423,246,966,388,1
572,,1326,,973,1111,1
573,,940,235,975,844,1
574,,857,329,977,771,1
575,,874,100,978,785,1
576,,874,100,979,785,1
577,,874,100,980,785,1
578,,1195,226,981,1001,1
579,,1195,237,982,1001,1
580,,708,109,983,633,1
581,,1528,152,984,1286,1
582,,1528,152,985,1286,1
583,,583,,989,517,1
584,,400,,990,365,1
585,,1038,396,991,941,1
586,,675,16,994,603,1
587,,522,,995,464,1
588,,522,,996,464,1
589,,1442,228,997,1210,1
590,,1442,223,998,1210,1
591,,1355,253,999,1136,1
592,,1527,68,1000,1285,1
593,,1355,176,1001,1136,1
594,,1576,92,1002,1328,1
595,,1585,19,1003,1337,1
596,,1062,24,1004,961,1
597,,568,158,1006,504,1
598,,1281,132 (line 258 - 9),1007,1072,1
599,,1244,199,1010,1039,1
600,,1244,102,1011,1039,1
601,,432,47,1013,395,1
602,,432,36,1014,395,1
603,,113,127,1015,101,1
604,,1054,,1016,953,1
605,,1054,,1017,953,1
606,,1500,260,1019,1262,1
607,,1500,276,1020,1262,1
608,,686,82,1021,614,1
609,,656,181,1022,589,1
610,,462,36,1023,419,1
611,,125,60,1024,113,1
612,,1634,486,1025,1368,1
613,,1310,289,1026,1099,1
614,,1568,67,1027,1320,1
615,,411,140,1029,376,1
616,,1425,150,1030,1193,1
617,,1425,153,1031,1193,1
618,,942,,1032,846,1
619,,1332,61,1037,1114,1
620,,40,,1044,38,1
621,,1332,57,1045,1114,1
622,,1332,57,1046,1114,1
623,,1545,176,1047,1298,1
624,,1545,46,1048,1298,1
625,,355,58,1049,323,1
626,,737,378,1050,661,1
627,,737,380,1051,661,1
628,,1407,48,1053,1175,1
629,,1407,48,1054,1175,1
630,,1407,172,1055,1175,1
631,,839,,1056,755,1
632,,57,,1057,53,1
633,,715,177,1059,639,1
634,,901,58,1063,807,1
635,,1233,167-186,1065,1029,1
636,,1233,167-186,1066,1029,1
637,,1233,167-186,1067,1029,1
638,,1233,167-186,1068,1029,1
639,,218,,1069,201,1
640,,218,,1070,201,1
641,,221,244,1071,203,1
642,,265,185,1072,239,1
643,,265,185,1073,239,1
644,,265,185,1074,239,1
645,,1416,5427,1075,1184,1
646,,1416,5299,1076,1184,1
647,,122,110,1077,110,1
648,,122,111,1078,110,1
649,,906,46,1079,812,1
650,,1446,377,1081,1214,1
651,,426,179,1082,391,1
652,,1214,71,1085,1013,1
653,,755,,1086,678,1
654,,353,176-177,1087,321,1
655,,371,15,1088,336,1
656,,367,110,1089,334,1
657,,132,,1090,119,1
658,,132,,1091,119,1
659,,847,,1092,761,1
660,,1048,176,1093,949,1
661,,722,226,1094,646,1
662,,722,226,1095,646,1
663,,236,364,1096,218,1
664,,854,,1097,768,1
665,,766,192,1098,689,1
666,,158,224,1099,144,1
667,,423,153,1100,388,1
668,,423,154,1101,388,1
669,,423,219,1102,388,1
670,,1326,,1104,1111,1
671,,1326,,1107,1111,1
672,,1326,,1108,1111,1
673,,14,12,1110,12,1
674,,857,367,1112,771,1
675,,874,189,1113,785,1
676,,874,106,1114,785,1
677,,874,105,1115,785,1
678,,1195,264,1116,1001,1
679,,708,116,1118,633,1
680,,708,117,1119,633,1
681,,708,115,1121,633,1
682,,1178,412,1122,984,1
683,,583,,1130,517,1
684,,583,,1131,517,1
685,,1038,399,1132,941,1
686,,1038,399,1134,941,1
687,,675,17,1136,603,1
688,,522,,1137,464,1
689,,522,,1138,464,1
690,,789,87,1139,708,1
691,,789,145,1140,708,1
692,,789,28,1141,708,1
693,,1442,231,1142,1210,1
694,,1442,228,1143,1210,1
695,,1576,105,1144,1328,1
696,,1357,132,1145,1138,1
697,,1527,22,1146,1285,1
698,,1604,279,1147,1356,1
699,,1604,279,1148,1356,1
700,,1604,277,1149,1356,1
701,,1604,277,1150,1356,1
702,,1604,,1151,1356,1
703,,1604,277,1152,1356,1
704,,1604,277,1153,1356,1
705,,1604,280,1154,1356,1
706,,661,173,1158,594,1
707,,661,173,1159,594,1
708,,1281,145 lines 328-329,1160,1072,1
709,,445,538,1169,408,1
710,,429,,1170,393,1
711,,1054,,1172,953,1
712,,1054,,1173,953,1
713,,634,188,1175,568,1
714,,1500,276,1176,1262,1
715,,462,228,1182,419,1
716,,1488,23,1184,1252,1
717,,1488,23,1185,1252,1
718,,125,91,1186,113,1
719,,1634,329,1187,1368,1
720,,1634,247,1189,1368,1
721,,1489,VI.3,1190,1253,1
722,,1489,VI.25,1191,1253,1
723,,942,,1194,846,1
724,,1533,,1196,1291,1
725,,128,8,1199,116,1
726,,1333,167,1202,1115,1
727,,128,1,1203,116,1
728,,570,13,1204,506,1
729,,1332,15,1205,1114,1
730,,40,,1206,38,1
731,,1545,66,1207,1298,1
732,,355,52,1208,323,1
733,,737,560,1209,661,1
734,,737,560,1210,661,1
735,,737,355,1211,661,1
736,,737,254,1212,661,1
737,,1407,143,1214,1175,1
738,,784,s.v. prigós,1215,703,1
739,,57,,1216,53,1
740,,880,,1217,789,1
741,,1456,,1218,1224,1
742,,901,50,1227,807,1
743,,901,52,1228,807,1
744,,905,48,1229,811,1
745,,905,49,1230,811,1
746,,221,122,1233,203,1
747,,221,178,1234,203,1
748,,1416,5123,1237,1184,1
749,,1416,5136,1238,1184,1
750,,122,104,1239,110,1
751,,906,66,1242,812,1
752,,906,67,1243,812,1
753,,906,42,1244,812,1
754,,835,79,1246,752,1
755,,556,47,1248,493,1
756,,1359,"292,note 20",1249,1140,1
757,,1048,145,1260,949,1
758,,1048,145,1261,949,1
759,,722,351,1262,646,1
760,,722,351,1263,646,1
761,,722,352,1264,646,1
762,,722,352,1265,646,1
763,,110,56,1266,98,1
764,,158,Text 7,1268,144,1
765,,423,147,1271,388,1
766,,423,147,1272,388,1
767,,1320,76,1274,1106,1
768,,1463,70,1275,1231,1
769,,1086,"Part 3, page 3",1279,981,1
770,,988,177,1280,891,1
771,,857,387,1281,771,1
772,,1567,29,1283,1319,1
773,,874,208,1284,785,1
774,,874,208,1285,785,1
775,,1195,222,1286,1001,1
776,,60,39,1287,56,1
777,,708,123,1289,633,1
778,,708,123-124,1290,633,1
779,,708,344,1292,633,1
780,,1178,635,1293,984,1
781,,1528,196,1294,1286,1
782,,1528,78,1295,1286,1
783,,8,,1299,7,1
784,,1038,401,1300,941,1
785,,154,212,1302,141,1
786,,595,12,1303,529,1
787,,789,47-48,1304,708,1
788,,789,226,1305,708,1
789,,789,160,1306,708,1
790,,789,31,1307,708,1
791,,1442,228,1308,1210,1
792,,1442,223,1309,1210,1
793,,1357,29,1310,1138,1
794,,1357,46,1311,1138,1
795,,1062,34,1312,961,1
796,,1062,34,1313,961,1
797,,1244,184,1316,1039,1
798,,432,34,1319,395,1
799,,439,237,1320,402,1
800,,1054,,1322,953,1
801,,1054,,1323,953,1
802,,1500,276,1325,1262,1
803,,1500,274,1326,1262,1
804,,656,191,1328,589,1
805,,462,70,1329,419,1
806,,1344,,1330,1126,1
807,,1489,VI.55,1332,1253,1
808,,529,81,1333,470,1
809,,1568,61,1334,1320,1
810,,584,NSP M16,1336,518,1
811,,942,,1337,846,1
812,,942,,1338,846,1
813,,1055,3,1342,954,1
814,,1545,59,1344,1298,1
815,,355,16,1345,323,1
816,,737,584,1346,661,1
817,,737,584,1347,661,1
818,,1407,89,1349,1175,1
819,,57,,1350,53,1
820,,1456,,1351,1224,1
821,,1456,,1352,1224,1
822,,905,46,1357,811,1
823,,221,173,1359,203,1
824,,122,107,1360,110,1
825,,122,87-88,1361,110,1
826,,906,26,1362,812,1
827,,906,24,1363,812,1
828,,906,24,1364,812,1
829,,1446,374,1366,1214,1
830,,835,68,1367,752,1
831,,531,175,1370,472,1
832,,556,14,1371,493,1
833,,371,14,1372,336,1
834,,487,,1375,442,1
835,,1048,110,1376,949,1
836,,1049,75,1377,950,1
837,,1048,110,1378,949,1
838,,1049,75,1379,950,1
839,,1048,112,1380,949,1
840,,1048,396,1381,949,1
841,,722,174,1382,646,1
842,,722,174,1383,646,1
843,,722,173,1384,646,1
844,,722,173,1385,646,1
845,,722,173,1386,646,1
846,,722,173,1387,646,1
847,,722,174,1388,646,1
848,,722,174,1389,646,1
849,,722,174,1390,646,1
850,,110,54,1391,98,1
851,,158,224,1394,144,1
852,,1326,,1395,1111,1
853,,1326,,1399,1111,1
854,,650,7,1400,583,1
855,,622,31,1401,556,1
856,,1195,221,1402,1001,1
857,,708,77,1403,633,1
858,,708,77,1404,633,1
859,,708,111,1405,633,1
860,,923,73,1407,827,1
861,,522,,1408,464,1
862,,522,,1409,464,1
863,,1527,9;10,1410,1285,1
864,,1062,35,1411,961,1
865,,1062,35,1412,961,1
866,,568,65,1414,504,1
867,,1281,130 (line 216),1415,1072,1
868,,1244,129,1417,1039,1
869,,434,,1419,397,1
870,,1054,,1421,953,1
871,,1500,272,1423,1262,1
872,,1500,272,1424,1262,1
873,,656,192,1428,589,1
874,,462,70,1429,419,1
875,,1344,,1430,1126,1
876,,1634,157,1431,1368,1
877,,1489,VI.42,1432,1253,1
878,,1568,60,1433,1320,1
879,,584,,1434,518,1
880,,942,,1435,846,1
881,,1333,104,1440,1115,1
882,,546,,1441,484,1
883,,175,,1442,160,1
884,,40,,1443,38,1
885,,1545,76,1444,1298,1
886,,355,16,1445,323,1
887,,737,590,1446,661,1
888,,737,590,1447,661,1
889,,1407,41,1449,1175,1
890,,126,,1450,114,1
891,,126,,1451,114,1
892,,1456,,1452,1224,1
893,,901,40,1456,807,1
894,,905,34,1457,811,1
895,,221,173,1459,203,1
896,,1416,5077,1461,1184,1
897,,122,87,1462,110,1
898,,906,25,1463,812,1
899,,371,16,1468,336,1
900,,1208,146,1471,1007,1
901,,1048,107,1473,949,1
902,,110,59,1474,98,1
903,,158,228,1476,144,1
904,,423,126,1477,388,1
905,,423,126,1478,388,1
906,,1320,,1480,1106,1
907,,857,330,1483,771,1
908,,708,81,1486,633,1
909,,920,267,1488,825,1
910,,1357,97,1490,1138,1
911,,1527,6,1491,1285,1
912,,1355,122,1492,1136,1
913,,1585,3,1493,1337,1
914,,1438,,1494,1206,1
915,,1438,,1496,1206,1
916,,1539,26,1497,1293,1
917,,1281,146 (line 338),1500,1072,1
918,,1197,1,1502,1003,1
919,,1431,55,1503,1199,1
920,,432,34,1508,395,1
921,,438,,1509,401,1
922,,429,,1510,393,1
923,,438,,1511,401,1
924,,438,,1512,401,1
925,,634,157,1517,568,1
926,,357,175,1518,325,1
927,,576,51,1520,510,1
928,,1488,22,1526,1252,1
929,,1344,,1527,1126,1
930,,1489,IV.50,1529,1253,1
931,,1489,IV.55,1530,1253,1
932,,48,137,1531,45,1
933,,659,32,1540,592,1
934,,1545,86,1541,1298,1
935,,1545,103,1542,1298,1
936,,737,392,1543,661,1
937,,737,107,1544,661,1
938,,737,106,1545,661,1
939,,737,103,1546,661,1
940,,784,s.v. mé,1551,703,1
941,,784,s.v. flexa,1552,703,1
942,,784,s.v. tenta,1553,703,1
943,,784,s.v. dizinbrudja,1554,703,1
944,,1456,,1558,1224,1
945,,1456,,1559,1224,1
946,,905,142,1571,811,1
947,,905,142,1572,811,1
948,,221,241,1574,203,1
949,,1416,3870,1577,1184,1
950,,1416,3623,1578,1184,1
951,,1064,5,1582,963,1
952,,898,82,1590,804,1
953,,1024,201,1591,927,1
954,,473,"vol. 6, p. 264",1594,430,1
955,,473,"vol. 6, p. 264",1595,430,1
956,,473,"vol. 6, p. 264",1596,430,1
957,,473,"vol. 6, p. 264",1598,430,1
958,,473,"vol. 6, p. 264",1599,430,1
959,,1048,297,1608,949,1
960,,1048,297,1609,949,1
961,,1048,296,1610,949,1
962,,1048,296,1611,949,1
963,,722,506,1612,646,1
964,,722,384,1613,646,1
965,,722,443,1614,646,1
966,,229,54,1615,211,1
967,,760,,1618,683,1
968,,1273,,1629,1064,1
969,,1273,,1630,1064,1
970,,1086,"Part 3, page 1",1631,981,1
971,,1574,225,1636,1326,1
972,,1195,235,1638,1001,1
973,,1195,240,1639,1001,1
974,,60,191,1640,56,1
