pk,jsondata,key,description,sentence_pk,source_pk,version
1,,1357,22,1,1138,1
2,,1527,74,2,1285,1
3,,1585,26,3,1337,1
4,,1539,116,5,1293,1
5,,354,219,6,322,1
6,,568,135,8,504,1
7,,1281,131 (line 247),9,1072,1
8,,1591,22,11,1343,1
9,,1591,22,12,1343,1
10,,1244,A10,15,1039,1
11,,439,237,17,402,1
12,,1054,,19,953,1
13,,1054,,20,953,1
14,,1500,268,22,1262,1
15,,989,71,25,892,1
16,,656,234,27,589,1
17,,656,251,28,589,1
18,,462,71,29,419,1
19,,462,58,30,419,1
20,,352,65,31,320,1
21,,125,85,32,113,1
22,,63,439,33,59,1
23,,1489,VI.1,35,1253,1
24,,1489,VI.39,36,1253,1
25,,1568,68,39,1320,1
26,,1568,60,40,1320,1
27,,584,,41,518,1
28,,584,WNB F10,43,518,1
29,,128,6,50,116,1
30,,1333,114,51,1115,1
31,,659,37,53,592,1
32,,1545,102,54,1298,1
33,,1545,76,55,1298,1
34,,1545,48,56,1298,1
35,,355,12,58,323,1
36,,736,287,59,660,1
37,,737,561,60,661,1
38,,786,,64,705,1
39,,663,,65,596,1
40,,126,,66,114,1
41,,1456,,67,1224,1
42,,715,21,68,639,1
43,,901,134,73,807,1
44,,905,182,74,811,1
45,,905,,75,811,1
46,,905,184,76,811,1
47,,218,,79,201,1
48,,218,,80,201,1
49,,218,,81,201,1
50,,218,,82,201,1
51,,267,168,83,240,1
52,,122,176,86,110,1
53,,906,91,87,812,1
54,,1064,10,88,963,1
55,,1553,11,90,1305,1
56,,426,79,91,391,1
57,,835,83,92,752,1
58,,531,199,102,472,1
59,,242,,103,224,1
60,,731,46,105,655,1
61,,732,209,106,656,1
62,,367,105,110,334,1
63,,346,,113,315,1
64,,1211,,115,1010,1
65,,1048,409,116,949,1
66,,1515,35,117,1274,1
67,,229,44,118,211,1
68,,955,69,120,859,1
69,,423,237,125,388,1
70,,1326,,132,1111,1
71,,1326,,133,1111,1
72,,857,360,138,771,1
73,,874,127,139,785,1
74,,1195,221,140,1001,1
75,,1195,237,141,1001,1
76,,1195,260,142,1001,1
77,,1195,273,143,1001,1
78,,1195,265,144,1001,1
79,,1195,271,145,1001,1
80,,708,128,150,633,1
81,,708,358,151,633,1
82,,1178,,152,984,1
83,,1178,406,153,984,1
84,,1401,250,157,1171,1
85,,1401,250,158,1171,1
86,,920,283,166,825,1
87,,920,224,167,825,1
88,,1038,395,168,941,1
89,,1033,64,169,936,1
90,,154,211,173,141,1
91,,522,,174,464,1
92,,789,42,175,708,1
93,,789,292,176,708,1
94,,789,123,177,708,1
95,,789,267,178,708,1
96,,789,241,179,708,1
97,,1442,224,180,1210,1
98,,1442,224,181,1210,1
99,,1527,29,182,1285,1
100,,1576,15,183,1328,1
101,,1527,33,184,1285,1
102,,1527,43,185,1285,1
103,,1062,37,186,961,1
104,,1062,37,187,961,1
105,,1062,34,188,961,1
106,,1062,37,189,961,1
107,,1585,27,190,1337,1
108,,1558,148,191,1310,1
109,,568,72,193,504,1
110,,568,72,194,504,1
111,,1281,180 (line 736),195,1072,1
112,,1281,68,197,1072,1
113,,1281,,198,1072,1
114,,1244,158,201,1039,1
115,,1244,158,202,1039,1
116,,1244,160,203,1039,1
117,,438,,206,401,1
118,,445,542,207,408,1
119,,442,178,208,405,1
120,,113,32,209,101,1
121,,1054,,211,953,1
122,,1054,,212,953,1
123,,634,X,213,568,1
124,,1500,266,215,1262,1
125,,357,203,216,325,1
126,,576,90,219,510,1
127,,656,210,221,589,1
128,,656,211,222,589,1
129,,462,144,223,419,1
130,,125,21,224,113,1
131,,125,20,225,113,1
132,,352,110,226,320,1
133,,1634,34,229,1368,1
134,,1489,VI.44,230,1253,1
135,,1489,VI.54,231,1253,1
136,,820,51,233,738,1
137,,411,38,235,376,1
138,,584,,236,518,1
139,,411,31,237,376,1
140,,1425,166,238,1193,1
141,,584,Manus F13,239,518,1
142,,1532,,240,1290,1
143,,1333,156,248,1115,1
144,,1333,156,252,1115,1
145,,659,71,253,592,1
146,,659,71,254,592,1
147,,659,72,255,592,1
148,,1545,48,256,1298,1
149,,1545,119,257,1298,1
150,,355,16,258,323,1
151,,355,11,259,323,1
152,,737,159,260,661,1
153,,737,160,261,661,1
154,,402,98,265,367,1
155,,786,,266,705,1
156,,786,,267,705,1
157,,786,,268,705,1
158,,1407,41,269,1175,1
159,,126,,270,114,1
160,,663,,271,596,1
161,,1456,,272,1224,1
162,,1793,n/a,274,1442,1
163,,901,54,280,807,1
164,,905,50,282,811,1
165,,221,175,285,203,1
166,,221,169,286,203,1
167,,221,220,287,203,1
168,,267,168,288,240,1
169,,1416,5429,290,1184,1
170,,1416,5075,291,1184,1
171,,1416,2112,292,1184,1
172,,1416,4970,293,1184,1
173,,120,78,294,108,1
174,,122,93-99,297,110,1
175,,906,30,298,812,1
176,,1414,46,300,1182,1
177,,426,136,301,391,1
178,,898,38,305,804,1
179,,898,38,306,804,1
180,,731,50,307,655,1
181,,898,38,308,804,1
182,,1214,22,309,1013,1
183,,471,229,314,428,1
184,,1049,10,320,950,1
185,,1048,160,321,949,1
186,,1048,160,322,949,1
187,,1049,10,323,950,1
188,,1048,160,324,949,1
189,,110,55,325,98,1
190,,76,83,328,71,1
191,,760,210,329,683,1
192,,159,"42, 100",332,145,1
193,,158,224,338,144,1
194,,423,221,339,388,1
195,,423,149,340,388,1
196,,1326,,347,1111,1
197,,1326,,348,1111,1
198,,1,37,350,1,1
199,,857,336,354,771,1
200,,874,126,355,785,1
201,,874,126,356,785,1
202,,1195,236,357,1001,1
203,,1195,221,358,1001,1
204,,708,454,363,633,1
205,,708,352,364,633,1
206,,708,107,365,633,1
207,,1178,408,366,984,1
208,,1178,409,367,984,1
209,,1178,175,368,984,1
210,,920,212,376,825,1
211,,8,,377,7,1
212,,675,26,382,603,1
213,,522,,383,464,1
214,,1442,224,387,1210,1
215,,1442,230,388,1210,1
216,,1442,224,389,1210,1
217,,1266,58,390,1059,1
218,,1357,134,391,1138,1
219,,1062,34,392,961,1
220,,1062,34,393,961,1
221,,568,73,395,504,1
222,,1281,130(line 217),396,1072,1
223,,1244,130,398,1039,1
224,,445,531,400,408,1
225,,434,,401,397,1
226,,1054,,403,953,1
227,,1054,,404,953,1
228,,1500,268,407,1262,1
229,,656,232,410,589,1
230,,125,11,412,113,1
231,,1634,169,413,1368,1
232,,1489,VI.74,414,1253,1
233,,1489,VI.23,415,1253,1
234,,1569,108,416,1321,1
235,,942,,419,846,1
236,,1532,,421,1290,1
237,,1332,61,424,1114,1
238,,1333,123,426,1115,1
239,,128,3,427,116,1
240,,659,48,429,592,1
241,,40,,430,38,1
242,,40,,431,38,1
243,,1545,71,432,1298,1
244,,355,63,433,323,1
245,,737,157,434,661,1
246,,1407,41,436,1175,1
247,,1407,41,437,1175,1
248,,1407,41,438,1175,1
249,,786,,439,705,1
250,,786,,440,705,1
251,,452,,441,412,1
252,,690,,442,617,1
253,,126,,443,114,1
254,,692,,444,619,1
255,,1456,,445,1224,1
256,,1456,,446,1224,1
257,,1456,,447,1224,1
258,,901,50,455,807,1
259,,901,50,456,807,1
260,,905,181,457,811,1
261,,905,47,458,811,1
262,,1786,,461,1441,1
263,,221,166,462,203,1
264,,221,169,463,203,1
265,,221,122,464,203,1
266,,221,166,465,203,1
267,,267,167,466,240,1
268,,267,167,467,240,1
269,,1416,5281,468,1184,1
270,,1416,5345,470,1184,1
271,,1416,2135,471,1184,1
272,,1416,1008-1009,472,1184,1
273,,122,57,473,110,1
274,,906,40,474,812,1
275,,906,41,475,812,1
276,,835,80,478,752,1
