pk,jsondata,language_pk,source_pk,version
1,,29,1430,1
2,,17,978,1
3,,55,682,1
4,,47,16,1
5,,5,540,1
6,,10,651,1
7,,65,1001,1
8,,53,162,1
9,,2,1308,1
10,,31,619,1
11,,56,215,1
12,,2,1447,1
13,,57,951,1
14,,31,755,1
15,,7,888,1
16,,5,299,1
17,,30,1296,1
18,,48,321,1
19,,29,235,1
20,,57,386,1
21,,9,401,1
22,,14,475,1
23,,22,922,1
24,,59,362,1
25,,52,1008,1
26,,21,516,1
27,,15,975,1
28,,49,191,1
29,,1,173,1
30,,54,943,1
31,,64,1004,1
32,,54,951,1
33,,5,383,1
34,,17,420,1
35,,67,1180,1
36,,30,1237,1
37,,14,888,1
38,,55,80,1
39,,15,460,1
40,,47,1013,1
41,,7,1043,1
42,,29,367,1
43,,9,404,1
44,,22,871,1
45,,8,1333,1
46,,47,106,1
47,,42,108,1
48,,3,25,1
49,,33,1220,1
50,,35,524,1
51,,55,692,1
52,,55,200,1
53,,58,907,1
54,,2,1336,1
55,,72,825,1
56,,47,989,1
57,,38,1033,1
58,,47,804,1
59,,50,439,1
60,,49,651,1
61,,54,98,1
62,,74,141,1
63,,42,924,1
64,,72,1424,1
65,,14,1025,1
66,,23,855,1
67,,20,75,1
68,,15,535,1
69,,37,1257,1
70,,33,228,1
71,,47,675,1
72,,102,145,1
73,,24,1179,1
74,,98,811,1
75,,55,66,1
76,,5,1355,1
77,,37,452,1
78,,74,508,1
79,,55,1212,1
80,,44,1331,1
81,,62,891,1
82,,56,489,1
83,,56,144,1
84,,49,1359,1
85,,6,1346,1
86,,64,1255,1
87,,72,826,1
88,,16,350,1
89,,33,639,1
90,,16,590,1
91,,54,151,1
92,,26,319,1
93,,30,96,1
94,,28,667,1
95,,56,924,1
96,,72,1425,1
97,,49,310,1
98,,57,1221,1
99,,54,197,1
100,,23,236,1
101,,29,165,1
102,,35,22,1
103,,47,940,1
104,,65,999,1
105,,55,681,1
106,,3,1294,1
107,,2,1019,1
108,,54,1209,1
109,,31,791,1
110,,8,171,1
111,,14,63,1
112,,24,625,1
113,,4,1161,1
114,,4,505,1
115,,14,510,1
116,,4,251,1
117,,20,1375,1
118,,56,681,1
119,,23,923,1
120,,4,257,1
121,,1,171,1
122,,3,1134,1
123,,3,714,1
124,,55,71,1
125,,12,1359,1
126,,47,718,1
127,,20,1162,1
128,,23,298,1
129,,27,340,1
130,,1,286,1
131,,8,501,1
132,,46,99,1
133,,12,653,1
134,,61,454,1
135,,55,218,1
136,,2,668,1
137,,25,954,1
138,,14,905,1
139,,20,448,1
140,,53,474,1
141,,49,650,1
142,,39,1420,1
143,,9,393,1
144,,49,716,1
145,,56,860,1
146,,22,530,1
147,,55,15,1
148,,55,552,1
149,,14,384,1
150,,47,780,1
151,,25,930,1
152,,31,841,1
153,,56,265,1
154,,59,1108,1
155,,4,869,1
156,,2,181,1
157,,4,866,1
158,,53,1060,1
159,,23,853,1
160,,8,61,1
161,,56,1159,1
162,,8,693,1
163,,23,989,1
164,,5,384,1
165,,33,1093,1
166,,21,740,1
167,,47,177,1
168,,38,287,1
169,,72,824,1
170,,5,351,1
171,,67,1404,1
172,,7,1042,1
173,,33,637,1
174,,14,363,1
175,,31,699,1
176,,31,760,1
177,,3,135,1
178,,26,305,1
179,,11,101,1
180,,38,1441,1
181,,66,1105,1
182,,54,511,1
183,,13,1215,1
184,,50,1202,1
185,,18,983,1
186,,47,35,1
187,,52,707,1
188,,33,1442,1
189,,21,1020,1
190,,74,1374,1
191,,45,1085,1
192,,93,929,1
193,,22,293,1
194,,48,1149,1
195,,55,690,1
196,,56,691,1
197,,75,1090,1
198,,23,777,1
199,,8,652,1
200,,74,529,1
201,,2,820,1
202,,59,1231,1
203,,1,169,1
204,,55,784,1
205,,46,471,1
206,,64,1319,1
207,,4,595,1
208,,9,820,1
209,,38,1032,1
210,,65,960,1
211,,47,361,1
212,,47,658,1
213,,48,1142,1
214,,15,540,1
215,,3,83,1
216,,54,211,1
217,,61,12,1
218,,49,76,1
219,,2,379,1
220,,58,898,1
221,,36,1130,1
222,,35,528,1
223,,49,434,1
224,,2,1348,1
225,,52,487,1
226,,29,127,1
227,,48,353,1
228,,74,603,1
229,,64,878,1
230,,5,1071,1
231,,6,540,1
232,,5,1169,1
233,,9,861,1
234,,2,444,1
235,,49,163,1
236,,56,951,1
237,,47,1288,1
238,,8,888,1
239,,55,687,1
240,,47,678,1
241,,50,549,1
242,,13,571,1
243,,73,936,1
244,,47,631,1
245,,15,968,1
246,,54,150,1
247,,59,1110,1
248,,65,1313,1
249,,6,913,1
250,,49,951,1
251,,29,1434,1
252,,1,559,1
253,,28,670,1
254,,20,1099,1
255,,54,196,1
256,,84,589,1
257,,5,349,1
258,,2,167,1
259,,33,635,1
260,,31,599,1
261,,26,735,1
262,,52,439,1
263,,47,115,1
264,,8,207,1
265,,20,1386,1
266,,35,526,1
267,,54,1208,1
268,,21,737,1
269,,20,1057,1
270,,23,849,1
271,,65,946,1
272,,49,554,1
273,,1,176,1
274,,81,603,1
275,,55,147,1
276,,5,130,1
277,,20,1240,1
278,,1,1278,1
279,,48,1147,1
280,,47,802,1
281,,12,491,1
282,,9,408,1
283,,49,563,1
284,,37,989,1
285,,23,1260,1
286,,101,145,1
287,,8,735,1
288,,20,41,1
289,,31,390,1
290,,6,911,1
291,,55,326,1
292,,55,684,1
293,,2,10,1
294,,55,13,1
295,,3,306,1
296,,12,568,1
297,,48,1359,1
298,,29,1435,1
299,,28,659,1
300,,49,342,1
301,,14,769,1
302,,17,350,1
303,,61,583,1
304,,8,711,1
305,,48,1140,1
306,,45,391,1
307,,31,96,1
308,,49,432,1
309,,22,917,1
310,,78,95,1
311,,21,742,1
312,,55,1314,1
313,,28,165,1
314,,23,846,1
315,,26,1104,1
316,,21,1320,1
317,,9,405,1
318,,2,134,1
319,,55,270,1
320,,49,188,1
321,,55,766,1
322,,55,221,1
323,,47,925,1
324,,30,572,1
325,,59,1112,1
326,,2,177,1
327,,94,712,1
328,,40,237,1
329,,13,538,1
330,,52,612,1
331,,22,923,1
332,,50,762,1
333,,15,970,1
334,,9,862,1
335,,15,924,1
336,,48,803,1
337,,59,628,1
338,,21,1235,1
339,,57,278,1
340,,54,986,1
341,,47,927,1
342,,31,1054,1
343,,46,47,1
344,,64,626,1
345,,22,1365,1
346,,49,449,1
347,,13,643,1
348,,3,668,1
349,,6,1421,1
350,,42,1243,1
351,,52,1006,1
352,,20,152,1
353,,21,30,1
354,,23,1291,1
355,,2,1349,1
356,,25,160,1
357,,79,1099,1
358,,48,1145,1
359,,45,746,1
360,,41,601,1
361,,23,530,1
362,,56,986,1
363,,29,989,1
364,,47,937,1
365,,50,315,1
366,,55,58,1
367,,2,1190,1
368,,42,609,1
369,,28,662,1
370,,73,494,1
371,,17,977,1
372,,13,958,1
373,,54,462,1
374,,8,181,1
375,,8,233,1
376,,3,533,1
377,,22,989,1
378,,53,1271,1
379,,27,323,1
380,,53,698,1
381,,47,1287,1
382,,24,709,1
383,,24,1341,1
384,,31,114,1
385,,56,133,1
386,,47,654,1
387,,17,419,1
388,,54,76,1
389,,14,422,1
390,,10,101,1
391,,50,548,1
392,,8,348,1
393,,54,223,1
394,,21,31,1
395,,8,487,1
396,,9,403,1
397,,52,442,1
398,,10,650,1
399,,50,763,1
400,,56,859,1
401,,18,1129,1
402,,3,86,1
403,,6,912,1
404,,2,1357,1
405,,49,1272,1
406,,22,777,1
407,,55,279,1
408,,8,694,1
409,,3,820,1
410,,2,1138,1
411,,13,959,1
412,,8,564,1
413,,49,532,1
414,,74,1239,1
415,,65,1000,1
416,,12,1061,1
417,,6,1354,1
418,,10,1021,1
419,,55,73,1
420,,25,37,1
421,,43,812,1
422,,55,81,1
423,,52,691,1
424,,64,982,1
425,,55,987,1
426,,54,146,1
427,,4,1348,1
428,,75,84,1
429,,8,540,1
430,,13,904,1
431,,8,679,1
432,,22,480,1
433,,91,982,1
434,,64,785,1
435,,11,990,1
436,,52,1007,1
437,,2,888,1
438,,3,1348,1
439,,31,617,1
440,,65,600,1
441,,17,820,1
442,,79,1380,1
443,,55,768,1
444,,15,228,1
445,,61,85,1
446,,55,1264,1
447,,6,910,1
448,,42,1065,1
449,,46,472,1
450,,23,1290,1
451,,12,651,1
452,,58,899,1
453,,50,122,1
454,,1,1280,1
455,,3,444,1
456,,49,433,1
457,,26,1369,1
458,,49,309,1
459,,3,185,1
460,,12,521,1
461,,74,498,1
462,,9,888,1
463,,44,963,1
464,,18,89,1
465,,35,21,1
466,,21,46,1
467,,55,268,1
468,,55,150,1
469,,3,1293,1
470,,53,712,1
471,,43,809,1
472,,38,1035,1
473,,41,1184,1
474,,23,851,1
475,,29,1024,1
476,,13,1333,1
477,,4,728,1
478,,60,1063,1
479,,49,346,1
480,,83,589,1
481,,55,78,1
482,,61,228,1
483,,38,1029,1
484,,40,240,1
485,,33,814,1
486,,31,1083,1
487,,47,733,1
488,,4,1416,1
489,,29,479,1
490,,15,615,1
491,,47,123,1
492,,27,1284,1
493,,37,1237,1
494,,48,838,1
495,,41,1191,1
496,,47,492,1
497,,61,143,1
498,,2,735,1
499,,15,537,1
500,,13,497,1
501,,33,996,1
