pk,jsondata,key,description,contribution_pk,source_pk,version
1,,209,,7,192,1
2,,1085,,7,980,1
3,,220,,39,202,1
4,,218,,39,201,1
5,,221,,39,203,1
6,,217,,55,200,1
7,,66,,8,61,1
8,,227,,13,209,1
9,,329,,13,301,1
10,,560,,13,497,1
11,,723,,49,647,1
12,,991,,8,894,1
13,,991,,5,894,1
14,,992,,13,895,1
15,,1059,,13,958,1
16,,1082,,17,977,1
17,,1083,,17,978,1
18,,1447,,13,1215,1
19,,1500,,13,1262,1
20,,1449,,13,1217,1
21,,713,,33,637,1
22,,709,,33,634,1
23,,711,,33,635,1
24,,712,,33,636,1
25,,909,,33,814,1
26,,1304,,33,1093,1
27,,1350,,33,1132,1
28,,1588,,33,1340,1
29,,1375,,2,1155,1
30,,1380,,2,1157,1
31,,1556,,2,1308,1
32,,1381,,2,1158,1
33,,1557,,2,1309,1
34,,1559,,2,1311,1
35,,1321,,59,1107,1
36,,1321,,58,1107,1
37,,80,,20,75,1
38,,216,,49,199,1
39,,598,,49,532,1
40,,653,,52,586,1
41,,724,,49,648,1
42,,804,,49,722,1
43,,816,,48,734,1
44,,937,,31,841,1
45,,1048,,53,949,1
46,,1462,,49,1230,1
47,,1510,,49,1269,1
48,,299,,56,271,1
49,,69,,55,64,1
50,,70,,55,65,1
51,,76,,55,71,1
52,,73,,55,68,1
53,,236,,55,218,1
54,,238,,54,220,1
55,,238,,55,220,1
56,,291,,55,263,1
57,,293,,56,265,1
58,,295,,54,267,1
59,,297,,55,269,1
60,,486,,56,441,1
61,,1443,,55,1211,1
62,,459,,17,416,1
63,,798,,49,716,1
64,,179,,49,164,1
65,,46,,49,43,1
66,,178,,49,163,1
67,,1484,,49,1248,1
68,,1549,,49,1302,1
69,,215,,55,198,1
70,,262,,23,236,1
71,,585,,23,519,1
72,,77,,55,72,1
73,,231,,54,213,1
74,,146,,56,133,1
75,,67,,8,62,1
76,,159,,56,145,1
77,,292,,56,264,1
78,,292,,54,264,1
79,,360,,49,328,1
80,,1181,,54,987,1
81,,1181,,56,987,1
82,,319,,23,291,1
83,,319,,22,291,1
84,,234,,23,216,1
85,,317,,23,289,1
86,,865,,23,778,1
87,,940,,61,844,1
88,,157,,61,143,1
89,,271,,61,243,1
90,,408,,61,373,1
91,,499,,61,454,1
92,,1052,,61,952,1
93,,1221,,21,1020,1
94,,734,,47,658,1
95,,151,,47,138,1
96,,525,,47,467,1
97,,714,,33,638,1
98,,403,,33,368,1
99,,1306,,33,1095,1
100,,1340,,33,1122,1
101,,1402,,20,1172,1
102,,540,,20,480,1
103,,540,,23,480,1
104,,540,,22,480,1
105,,597,,20,531,1
106,,1020,,20,923,1
107,,1020,,23,923,1
108,,1020,,22,923,1
109,,1529,,47,1287,1
110,,555,,47,492,1
111,,1031,,47,934,1
112,,1279,,47,1070,1
113,,1253,,47,1048,1
114,,1631,,22,1365,1
115,,1600,,5,1352,1
116,,433,,9,396,1
117,,548,,5,485,1
118,,549,,5,486,1
119,,993,,8,896,1
120,,993,,5,896,1
121,,1382,,56,1159,1
122,,1376,,2,1156,1
123,,1401,,70,1171,1
124,,1336,,22,1118,1
125,,596,,23,530,1
126,,596,,22,530,1
127,,864,,23,777,1
128,,864,,22,777,1
129,,1018,,22,921,1
130,,1335,,22,1117,1
131,,54,,2,50,1
132,,1352,,3,1134,1
133,,861,,49,774,1
134,,147,,49,134,1
135,,147,,2,134,1
136,,803,,49,721,1
137,,891,,53,797,1
138,,177,,53,162,1
139,,203,,53,186,1
140,,534,,53,474,1
141,,779,,53,698,1
142,,889,,53,795,1
143,,890,,53,796,1
144,,1049,,53,950,1
145,,1363,,48,1144,1
146,,142,,48,129,1
147,,353,,48,321,1
148,,934,,48,838,1
149,,935,,48,839,1
150,,936,,48,840,1
151,,1185,,48,991,1
152,,1196,,48,1002,1
153,,704,,22,630,1
154,,1547,,22,1300,1
155,,202,,3,185,1
156,,914,,3,819,1
157,,1217,,2,1016,1
158,,1364,,48,1145,1
159,,13,,61,11,1
160,,180,,28,165,1
161,,180,,29,165,1
162,,844,,31,759,1
163,,844,,30,759,1
164,,1464,,14,1232,1
165,,322,,23,294,1
166,,322,,22,294,1
167,,380,,49,345,1
168,,862,,49,775,1
169,,253,,33,228,1
170,,253,,15,228,1
171,,304,,57,276,1
172,,1290,,26,1081,1
173,,305,,54,277,1
174,,305,,57,277,1
175,,1593,,6,1345,1
176,,716,,57,640,1
177,,915,,17,820,1
178,,915,,2,820,1
179,,915,,3,820,1
180,,915,,5,820,1
181,,915,,8,820,1
182,,915,,9,820,1
183,,915,,13,820,1
184,,334,,3,306,1
185,,687,,15,615,1
186,,986,,22,890,1
187,,995,,58,898,1
188,,1015,,22,918,1
189,,1035,,3,938,1
190,,225,,8,207,1
191,,414,,2,379,1
192,,416,,10,381,1
193,,535,,14,475,1
