pk,jsondata,id,name,description,markup_description,ord,mime_type,object_pk,version
103,"{""mimetype"": ""application/pdf"", ""original"": ""62_gt.pdf"", ""objid"": ""EAEA0-8D7B-BDCF-3D0D-0"", ""size"": 72985}",62-gt.pdf,Glossed text,,,1,application/pdf,62,1
125,"{""mimetype"": ""audio/mpeg"", ""original"": ""75_gt.mp3"", ""objid"": ""EAEA0-F017-65B4-5BF1-0"", ""size"": 2740093}",75-gt.mp3,Glossed text audio,,,1,audio/mpeg,75,1
108,"{""mimetype"": ""application/pdf"", ""original"": ""65_gt.pdf"", ""objid"": ""EAEA0-4A02-6FED-6382-0"", ""size"": 51883}",65-gt.pdf,Glossed text,,,1,application/pdf,65,1
92,"{""mimetype"": ""audio/mpeg"", ""original"": ""55_gt.mp3"", ""objid"": ""EAEA0-7BA9-1923-57AC-0"", ""size"": 2023424}",55-gt.mp3,Glossed text audio,,,1,audio/mpeg,55,1
74,"{""mimetype"": ""audio/mpeg"", ""original"": ""45_gt.mp3"", ""objid"": ""EAEA0-2476-7C34-DC94-0"", ""size"": 1439477}",45-gt.mp3,Glossed text audio,,,1,audio/mpeg,45,1
72,"{""mimetype"": ""audio/mpeg"", ""original"": ""44_gt.mp3"", ""objid"": ""EAEA0-5011-D4D4-6699-0"", ""size"": 866873}",44-gt.mp3,Glossed text audio,,,1,audio/mpeg,44,1
70,"{""mimetype"": ""application/pdf"", ""original"": ""43_gt.pdf"", ""objid"": ""EAEA0-2564-62A6-E107-0"", ""size"": 65461}",43-gt.pdf,Glossed text,,,1,application/pdf,43,1
69,"{""mimetype"": ""audio/mpeg"", ""original"": ""42_gt.mp3"", ""objid"": ""EAEA0-9B85-6443-C682-0"", ""size"": 7322677}",42-gt.mp3,Glossed text audio,,,1,audio/mpeg,42,1
67,"{""mimetype"": ""audio/mpeg"", ""original"": ""41_gt.mp3"", ""objid"": ""EAEA0-1CB0-06AF-55DD-0"", ""size"": 876544}",41-gt.mp3,Glossed text audio,,,1,audio/mpeg,41,1
65,"{""mimetype"": ""audio/mpeg"", ""original"": ""40_gt.mp3"", ""objid"": ""EAEA0-4559-E978-D103-0"", ""size"": 990244}",40-gt.mp3,Glossed text audio,,,1,audio/mpeg,40,1
63,"{""mimetype"": ""application/pdf"", ""original"": ""39_gt.pdf"", ""objid"": ""EAEA0-84F8-5EAE-67DE-0"", ""size"": 76600}",39-gt.pdf,Glossed text,,,1,application/pdf,39,1
62,"{""mimetype"": ""application/pdf"", ""original"": ""38_gt.pdf"", ""objid"": ""EAEA0-B0B9-790D-6A4D-0"", ""size"": 52540}",38-gt.pdf,Glossed text,,,1,application/pdf,38,1
61,"{""mimetype"": ""audio/mpeg"", ""original"": ""37_gt.mp3"", ""objid"": ""EAEA0-7128-6A3F-3A49-0"", ""size"": 337535}",37-gt.mp3,Glossed text audio,,,1,audio/mpeg,37,1
59,"{""mimetype"": ""audio/mpeg"", ""original"": ""36_gt.mp3"", ""objid"": ""EAEA0-657C-15B3-C77E-0"", ""size"": 358015}",36-gt.mp3,Glossed text audio,,,1,audio/mpeg,36,1
57,"{""mimetype"": ""audio/mpeg"", ""original"": ""35_gt.mp3"", ""objid"": ""EAEA0-7D6D-0953-8485-0"", ""size"": 1602906}",35-gt.mp3,Glossed text audio,,,1,audio/mpeg,35,1
55,"{""mimetype"": ""audio/mpeg"", ""original"": ""34_gt.mp3"", ""objid"": ""EAEA0-43FC-F459-7F28-0"", ""size"": 3881829}",34-gt.mp3,Glossed text audio,,,1,audio/mpeg,34,1
53,"{""mimetype"": ""audio/mpeg"", ""original"": ""33_gt.mp3"", ""objid"": ""EAEA0-65AB-ED2B-0A34-0"", ""size"": 4655053}",33-gt.mp3,Glossed text audio,,,1,audio/mpeg,33,1
51,"{""mimetype"": ""audio/mpeg"", ""original"": ""32_gt.mp3"", ""objid"": ""EAEA0-CF1D-BC9D-57F5-0"", ""size"": 3469152}",32-gt.mp3,Glossed text audio,,,1,audio/mpeg,32,1
49,"{""mimetype"": ""application/pdf"", ""original"": ""31_gt.pdf"", ""objid"": ""EAEA0-B86B-35E9-90AF-0"", ""size"": 56029}",31-gt.pdf,Glossed text,,,1,application/pdf,31,1
48,"{""mimetype"": ""audio/mpeg"", ""original"": ""30_gt.mp3"", ""objid"": ""EAEA0-A634-85C0-2D7B-0"", ""size"": 2754384}",30-gt.mp3,Glossed text audio,,,1,audio/mpeg,30,1
46,"{""mimetype"": ""application/pdf"", ""original"": ""29_gt.pdf"", ""objid"": ""EAEA0-5904-B53C-DD7D-0"", ""size"": 88514}",29-gt.pdf,Glossed text,,,1,application/pdf,29,1
45,"{""mimetype"": ""application/pdf"", ""original"": ""28_gt.pdf"", ""objid"": ""EAEA0-3220-83D9-1D4C-0"", ""size"": 76676}",28-gt.pdf,Glossed text,,,1,application/pdf,28,1
44,"{""mimetype"": ""application/pdf"", ""original"": ""27_gt.pdf"", ""objid"": ""EAEA0-B6DD-0D82-8C5F-0"", ""size"": 91012}",27-gt.pdf,Glossed text,,,1,application/pdf,27,1
43,"{""mimetype"": ""audio/mpeg"", ""original"": ""26_gt.mp3"", ""objid"": ""EAEA0-7B89-0EA2-EB8A-0"", ""size"": 1782594}",26-gt.mp3,Glossed text audio,,,1,audio/mpeg,26,1
41,"{""mimetype"": ""audio/mpeg"", ""original"": ""25_gt.mp3"", ""objid"": ""EAEA0-2D91-916D-CC5D-0"", ""size"": 495314}",25-gt.mp3,Glossed text audio,,,1,audio/mpeg,25,1
39,"{""mimetype"": ""application/pdf"", ""original"": ""24_gt.pdf"", ""objid"": ""EAEA0-B214-2D4B-7ABF-0"", ""size"": 46303}",24-gt.pdf,Glossed text,,,1,application/pdf,24,1
38,"{""mimetype"": ""audio/mpeg"", ""original"": ""23_gt.mp3"", ""objid"": ""EAEA0-82AD-E503-DB1A-0"", ""size"": 262}",23-gt.mp3,Glossed text audio,,,1,audio/mpeg,23,1
36,"{""mimetype"": ""audio/mpeg"", ""original"": ""22_gt.mp3"", ""objid"": ""EAEA0-4CA6-8542-A148-0"", ""size"": 1347648}",22-gt.mp3,Glossed text audio,,,1,audio/mpeg,22,1
34,"{""mimetype"": ""application/pdf"", ""original"": ""20_gt.pdf"", ""objid"": ""EAEA0-6100-139B-1AAD-0"", ""size"": 62792}",20-gt.pdf,Glossed text,,,1,application/pdf,20,1
33,"{""mimetype"": ""audio/mpeg"", ""original"": ""19_gt.mp3"", ""objid"": ""EAEA0-41D7-B3F4-A080-0"", ""size"": 806454}",19-gt.mp3,Glossed text audio,,,1,audio/mpeg,19,1
31,"{""mimetype"": ""audio/mpeg"", ""original"": ""18_gt.mp3"", ""objid"": ""EAEA0-FA0D-34A4-432A-0"", ""size"": 2455543}",18-gt.mp3,Glossed text audio,,,1,audio/mpeg,18,1
29,"{""mimetype"": ""audio/mpeg"", ""original"": ""17_gt.mp3"", ""objid"": ""EAEA0-2E17-9925-8EC9-0"", ""size"": 728326}",17-gt.mp3,Glossed text audio,,,1,audio/mpeg,17,1
27,"{""mimetype"": ""audio/mpeg"", ""original"": ""16_gt.mp3"", ""objid"": ""EAEA0-CA39-12B4-3C15-0"", ""size"": 955502}",16-gt.mp3,Glossed text audio,,,1,audio/mpeg,16,1
25,"{""mimetype"": ""audio/mpeg"", ""original"": ""15_gt.mp3"", ""objid"": ""EAEA0-0D65-917F-6395-0"", ""size"": 2269962}",15-gt.mp3,Glossed text audio,,,1,audio/mpeg,15,1
23,"{""mimetype"": ""audio/mpeg"", ""original"": ""14_gt.mp3"", ""objid"": ""EAEA0-2BEF-BCCD-AEF5-0"", ""size"": 1893733}",14-gt.mp3,Glossed text audio,,,1,audio/mpeg,14,1
21,"{""mimetype"": ""audio/mpeg"", ""original"": ""13_gt.mp3"", ""objid"": ""EAEA0-FE27-4ED1-3332-0"", ""size"": 505330}",13-gt.mp3,Glossed text audio,,,1,audio/mpeg,13,1
19,"{""mimetype"": ""audio/mpeg"", ""original"": ""12_gt.mp3"", ""objid"": ""EAEA0-CA7F-4AD9-4D30-0"", ""size"": 1678766}",12-gt.mp3,Glossed text audio,,,1,audio/mpeg,12,1
17,"{""mimetype"": ""audio/mpeg"", ""original"": ""11_gt.mp3"", ""objid"": ""EAEA0-6069-7C12-765E-0"", ""size"": 560516}",11-gt.mp3,Glossed text audio,,,1,audio/mpeg,11,1
15,"{""mimetype"": ""application/pdf"", ""original"": ""10_gt.pdf"", ""objid"": ""EAEA0-DD53-3548-FE55-0"", ""size"": 65351}",10-gt.pdf,Glossed text,,,1,application/pdf,10,1
14,"{""mimetype"": ""application/pdf"", ""original"": ""9_gt.pdf"", ""objid"": ""EAEA0-592B-5B36-0AD5-0"", ""size"": 60430}",9-gt.pdf,Glossed text,,,1,application/pdf,9,1
13,"{""mimetype"": ""audio/mpeg"", ""original"": ""8_gt.mp3"", ""objid"": ""EAEA0-3A35-3650-07D6-0"", ""size"": 5363494}",8-gt.mp3,Glossed text audio,,,1,audio/mpeg,8,1
11,"{""mimetype"": ""audio/mpeg"", ""original"": ""7_gt.mp3"", ""objid"": ""EAEA0-7756-600B-3E45-0"", ""size"": 4053158}",7-gt.mp3,Glossed text audio,,,1,audio/mpeg,7,1
9,"{""mimetype"": ""audio/mpeg"", ""original"": ""6_gt.mp3"", ""objid"": ""EAEA0-1DC6-28E5-C84A-0"", ""size"": 90112}",6-gt.mp3,Glossed text audio,,,1,audio/mpeg,6,1
7,"{""mimetype"": ""application/pdf"", ""original"": ""5_gt.pdf"", ""objid"": ""EAEA0-B62A-6C0F-AAD1-0"", ""size"": 81859}",5-gt.pdf,Glossed text,,,1,application/pdf,5,1
6,"{""mimetype"": ""audio/mpeg"", ""original"": ""4_gt.mp3"", ""objid"": ""EAEA0-43D4-4263-1F01-0"", ""size"": 1336457}",4-gt.mp3,Glossed text audio,,,1,audio/mpeg,4,1
4,"{""mimetype"": ""application/pdf"", ""original"": ""3_gt.pdf"", ""objid"": ""EAEA0-FABF-475D-5CFF-0"", ""size"": 56359}",3-gt.pdf,Glossed text,,,1,application/pdf,3,1
3,"{""mimetype"": ""audio/mpeg"", ""original"": ""2_gt.mp3"", ""objid"": ""EAEA0-A03D-7E7F-35AA-0"", ""size"": 1795970}",2-gt.mp3,Glossed text audio,,,1,audio/mpeg,2,1
1,"{""mimetype"": ""application/pdf"", ""original"": ""1_gt.pdf"", ""objid"": ""EAEA0-F3F6-F66F-9B1E-0"", ""size"": 50302}",1-gt.pdf,Glossed text,,,1,application/pdf,1,1
