pk,jsondata,survey_pk,contributor_pk,ord,primary
1,,1,58,1,t
2,,1,49,2,t
3,,2,60,1,t
4,,2,76,2,t
5,,3,1,1,t
6,,3,49,2,t
7,,3,57,3,t
8,,4,39,1,t
9,,5,12,1,t
10,,5,64,2,t
11,,6,41,1,t
12,,7,52,1,t
13,,8,16,1,t
14,,9,14,1,t
15,,10,6,1,t
16,,11,6,1,t
17,,12,21,1,t
18,,13,27,1,t
19,,14,68,1,t
20,,15,18,1,t
21,,16,24,1,t
22,,17,15,1,t
23,,18,81,1,t
24,,19,48,1,t
25,,20,82,1,t
26,,20,83,2,t
27,,22,56,1,t
28,,22,53,2,t
29,,23,37,1,t
30,,24,42,1,t
31,,25,47,1,t
32,,25,62,2,t
33,,25,89,3,t
34,,26,59,1,t
35,,27,79,1,t
36,,28,29,1,t
37,,29,79,1,t
38,,30,31,1,t
39,,31,5,1,t
40,,32,65,1,t
41,,33,25,1,t
42,,33,26,2,t
43,,33,23,3,t
44,,34,88,1,t
45,,34,87,2,t
46,,35,22,1,t
47,,36,35,1,t
48,,37,35,1,t
49,,38,70,1,t
50,,39,61,1,t
51,,40,10,1,t
52,,41,63,1,t
53,,42,7,1,t
54,,43,35,1,t
55,,44,54,1,t
56,,45,54,1,t
57,,46,45,1,t
58,,47,35,1,t
59,,48,46,1,t
60,,49,17,1,t
61,,50,74,1,t
62,,50,33,2,t
63,,52,44,1,t
64,,53,28,1,t
65,,53,43,2,t
66,,54,8,1,t
67,,55,3,1,t
68,,55,30,2,t
69,,56,38,1,t
70,,56,50,2,t
71,,57,13,1,t
72,,57,86,2,t
73,,58,40,1,t
74,,59,51,1,t
75,,60,71,1,t
76,,61,36,1,t
77,,61,85,2,t
78,,62,69,1,t
79,,63,34,1,t
80,,64,75,1,t
81,,64,73,2,t
82,,65,77,1,t
83,,66,55,1,t
84,,67,67,1,t
85,,68,80,1,t
86,,69,19,1,t
87,,70,53,1,t
88,,71,84,1,t
89,,72,62,1,t
90,,73,72,1,t
91,,74,20,1,t
92,,75,4,1,t
93,,76,66,1,t
