pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr,version
764,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",177-1,Exists (as a major allophone),,,178,1,,1
768,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",178-1,Exists (as a major allophone),,,179,1,,1
772,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",179-1,Exists (as a major allophone),,,180,1,,1
776,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",180-1,Exists (as a major allophone),,,181,1,,1
777,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",180-2,Exists only as a minor allophone,,,181,2,,1
778,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",180-3,Exists only in loanwords,,,181,3,,1
779,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",180-4,Does not exist,,,181,4,,1
780,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",181-1,Exists (as a major allophone),,,182,1,,1
781,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",181-2,Exists only as a minor allophone,,,182,2,,1
782,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",181-3,Exists only in loanwords,,,182,3,,1
783,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",181-4,Does not exist,,,182,4,,1
784,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",182-1,Exists (as a major allophone),,,183,1,,1
785,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",182-2,Exists only as a minor allophone,,,183,2,,1
786,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",182-3,Exists only in loanwords,,,183,3,,1
787,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",182-4,Does not exist,,,183,4,,1
788,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",183-1,Exists (as a major allophone),,,184,1,,1
789,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",183-2,Exists only as a minor allophone,,,184,2,,1
790,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",183-3,Exists only in loanwords,,,184,3,,1
791,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",183-4,Does not exist,,,184,4,,1
792,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",184-1,Exists (as a major allophone),,,185,1,,1
793,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",184-2,Exists only as a minor allophone,,,185,2,,1
795,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",184-4,Does not exist,,,185,4,,1
796,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",185-1,Exists (as a major allophone),,,186,1,,1
797,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",185-2,Exists only as a minor allophone,,,186,2,,1
800,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",186-1,Exists (as a major allophone),,,187,1,,1
804,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",187-1,Exists (as a major allophone),,,188,1,,1
805,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",187-2,Exists only as a minor allophone,,,188,2,,1
806,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",187-3,Exists only in loanwords,,,188,3,,1
807,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",187-4,Does not exist,,,188,4,,1
808,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",188-1,Exists (as a major allophone),,,189,1,,1
809,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",188-2,Exists only as a minor allophone,,,189,2,,1
811,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",188-4,Does not exist,,,189,4,,1
812,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",189-1,Exists (as a major allophone),,,190,1,,1
813,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",189-2,Exists only as a minor allophone,,,190,2,,1
814,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",189-3,Exists only in loanwords,,,190,3,,1
815,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",189-4,Does not exist,,,190,4,,1
816,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",190-1,Exists (as a major allophone),,,191,1,,1
817,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",190-2,Exists only as a minor allophone,,,191,2,,1
818,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",190-3,Exists only in loanwords,,,191,3,,1
819,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",190-4,Does not exist,,,191,4,,1
820,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",191-1,Exists (as a major allophone),,,192,1,,1
821,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",191-2,Exists only as a minor allophone,,,192,2,,1
822,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",191-3,Exists only in loanwords,,,192,3,,1
823,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",191-4,Does not exist,,,192,4,,1
824,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",192-1,Exists (as a major allophone),,,193,1,,1
825,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",192-2,Exists only as a minor allophone,,,193,2,,1
826,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",192-3,Exists only in loanwords,,,193,3,,1
827,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",192-4,Does not exist,,,193,4,,1
828,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",193-1,Exists (as a major allophone),,,194,1,,1
829,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",193-2,Exists only as a minor allophone,,,194,2,,1
830,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",193-3,Exists only in loanwords,,,194,3,,1
832,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",194-1,Exists (as a major allophone),,,195,1,,1
833,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",194-2,Exists only as a minor allophone,,,195,2,,1
834,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",194-3,Exists only in loanwords,,,195,3,,1
835,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",194-4,Does not exist,,,195,4,,1
836,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",195-1,Exists (as a major allophone),,,196,1,,1
837,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",195-2,Exists only as a minor allophone,,,196,2,,1
838,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",195-3,Exists only in loanwords,,,196,3,,1
839,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",195-4,Does not exist,,,196,4,,1
840,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",196-1,Exists (as a major allophone),,,197,1,,1
841,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",196-2,Exists only as a minor allophone,,,197,2,,1
842,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",196-3,Exists only in loanwords,,,197,3,,1
843,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",196-4,Does not exist,,,197,4,,1
845,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",197-2,Exists only as a minor allophone,,,198,2,,1
849,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",198-2,Exists only as a minor allophone,,,199,2,,1
852,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",199-1,Exists (as a major allophone),,,200,1,,1
853,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",199-2,Exists only as a minor allophone,,,200,2,,1
854,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",199-3,Exists only in loanwords,,,200,3,,1
855,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",199-4,Does not exist,,,200,4,,1
856,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",200-1,Exists (as a major allophone),,,201,1,,1
859,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",200-4,Does not exist,,,201,4,,1
860,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",201-1,Exists (as a major allophone),,,202,1,,1
861,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",201-2,Exists only as a minor allophone,,,202,2,,1
862,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",201-3,Exists only in loanwords,,,202,3,,1
863,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",201-4,Does not exist,,,202,4,,1
864,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",202-1,Exists (as a major allophone),,,203,1,,1
865,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",202-2,Exists only as a minor allophone,,,203,2,,1
866,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",202-3,Exists only in loanwords,,,203,3,,1
867,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",202-4,Does not exist,,,203,4,,1
868,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",203-1,Exists (as a major allophone),,,204,1,,1
872,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",204-1,Exists (as a major allophone),,,205,1,,1
874,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",204-3,Exists only in loanwords,,,205,3,,1
876,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",205-1,Exists (as a major allophone),,,206,1,,1
877,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",205-2,Exists only as a minor allophone,,,206,2,,1
878,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",205-3,Exists only in loanwords,,,206,3,,1
879,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",205-4,Does not exist,,,206,4,,1
880,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",206-1,Exists (as a major allophone),,,207,1,,1
885,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",207-2,Exists only as a minor allophone,,,208,2,,1
890,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",208-3,Exists only in loanwords,,,209,3,,1
892,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",209-1,Exists (as a major allophone),,,210,1,,1
895,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",209-4,Does not exist,,,210,4,,1
896,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",210-1,Exists (as a major allophone),,,211,1,,1
900,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",211-1,Exists (as a major allophone),,,212,1,,1
904,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",212-1,Exists (as a major allophone),,,213,1,,1
905,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",212-2,Exists only as a minor allophone,,,213,2,,1
907,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",212-4,Does not exist,,,213,4,,1
908,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",213-1,Exists (as a major allophone),,,214,1,,1
912,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",214-1,Exists (as a major allophone),,,215,1,,1
916,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",215-1,Exists (as a major allophone),,,216,1,,1
917,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",215-2,Exists only as a minor allophone,,,216,2,,1
921,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",216-2,Exists only as a minor allophone,,,217,2,,1
924,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",217-1,Exists (as a major allophone),,,218,1,,1
925,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",217-2,Exists only as a minor allophone,,,218,2,,1
926,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",217-3,Exists only in loanwords,,,218,3,,1
927,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",217-4,Does not exist,,,218,4,,1
928,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",218-1,Exists (as a major allophone),,,219,1,,1
929,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",218-2,Exists only as a minor allophone,,,219,2,,1
931,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",218-4,Does not exist,,,219,4,,1
932,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",219-1,Exists (as a major allophone),,,220,1,,1
933,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",219-2,Exists only as a minor allophone,,,220,2,,1
936,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",220-1,Exists (as a major allophone),,,221,1,,1
937,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",220-2,Exists only as a minor allophone,,,221,2,,1
940,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",221-1,Exists (as a major allophone),,,222,1,,1
941,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",221-2,Exists only as a minor allophone,,,222,2,,1
943,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",221-4,Does not exist,,,222,4,,1
944,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",222-1,Exists (as a major allophone),,,223,1,,1
947,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",222-4,Does not exist,,,223,4,,1
948,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",223-1,Exists (as a major allophone),,,224,1,,1
952,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",224-1,Exists (as a major allophone),,,225,1,,1
956,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",225-1,Exists (as a major allophone),,,226,1,,1
960,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",226-1,Exists (as a major allophone),,,227,1,,1
964,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",227-1,Exists (as a major allophone),,,228,1,,1
968,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",228-1,Exists (as a major allophone),,,229,1,,1
972,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",229-1,Exists (as a major allophone),,,230,1,,1
976,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",230-1,Exists (as a major allophone),,,231,1,,1
980,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",231-1,Exists (as a major allophone),,,232,1,,1
981,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",231-2,Exists only as a minor allophone,,,232,2,,1
982,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",231-3,Exists only in loanwords,,,232,3,,1
983,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",231-4,Does not exist,,,232,4,,1
984,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",232-1,Exists (as a major allophone),,,233,1,,1
988,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",233-1,Exists (as a major allophone),,,234,1,,1
992,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",234-1,Exists (as a major allophone),,,235,1,,1
996,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",235-1,Exists (as a major allophone),,,236,1,,1
998,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",235-3,Exists only in loanwords,,,236,3,,1
1000,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",236-1,Exists (as a major allophone),,,237,1,,1
1004,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",237-1,Exists (as a major allophone),,,238,1,,1
1008,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",238-1,Exists (as a major allophone),,,239,1,,1
1012,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",239-1,Exists (as a major allophone),,,240,1,,1
1014,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",239-3,Exists only in loanwords,,,240,3,,1
1016,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",240-1,Exists (as a major allophone),,,241,1,,1
1022,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",241-3,Exists only in loanwords,,,242,3,,1
1026,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",242-3,Exists only in loanwords,,,243,3,,1
1028,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",243-1,Exists (as a major allophone),,,244,1,,1
1029,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",243-2,Exists only as a minor allophone,,,244,2,,1
1032,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",244-1,Exists (as a major allophone),,,245,1,,1
1036,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",245-1,Exists (as a major allophone),,,246,1,,1
1042,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",246-3,Exists only in loanwords,,,247,3,,1
1044,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",247-1,Exists (as a major allophone),,,248,1,,1
1048,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",248-1,Exists (as a major allophone),,,249,1,,1
1052,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",249-1,Exists (as a major allophone),,,250,1,,1
1056,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",250-1,Exists (as a major allophone),,,251,1,,1
1060,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",251-1,Exists (as a major allophone),,,252,1,,1
1064,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",252-1,Exists (as a major allophone),,,253,1,,1
1065,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",252-2,Exists only as a minor allophone,,,253,2,,1
1067,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",252-4,Does not exist,,,253,4,,1
1068,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",253-1,Exists (as a major allophone),,,254,1,,1
1069,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",253-2,Exists only as a minor allophone,,,254,2,,1
1071,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",253-4,Does not exist,,,254,4,,1
1072,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",254-1,Exists (as a major allophone),,,255,1,,1
1073,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",254-2,Exists only as a minor allophone,,,255,2,,1
1074,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",254-3,Exists only in loanwords,,,255,3,,1
1075,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",254-4,Does not exist,,,255,4,,1
1076,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",255-1,Exists (as a major allophone),,,256,1,,1
1077,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",255-2,Exists only as a minor allophone,,,256,2,,1
1078,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",255-3,Exists only in loanwords,,,256,3,,1
1079,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",255-4,Does not exist,,,256,4,,1
1080,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",256-1,Exists (as a major allophone),,,257,1,,1
1081,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",256-2,Exists only as a minor allophone,,,257,2,,1
1083,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",256-4,Does not exist,,,257,4,,1
1084,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",257-1,Exists (as a major allophone),,,258,1,,1
1085,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",257-2,Exists only as a minor allophone,,,258,2,,1
1087,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",257-4,Does not exist,,,258,4,,1
1088,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",258-1,Exists (as a major allophone),,,259,1,,1
1089,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",258-2,Exists only as a minor allophone,,,259,2,,1
1090,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",258-3,Exists only in loanwords,,,259,3,,1
1091,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",258-4,Does not exist,,,259,4,,1
1092,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",259-1,Exists (as a major allophone),,,260,1,,1
1093,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",259-2,Exists only as a minor allophone,,,260,2,,1
1094,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",259-3,Exists only in loanwords,,,260,3,,1
1095,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",259-4,Does not exist,,,260,4,,1
1096,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",260-1,Exists (as a major allophone),,,261,1,,1
1097,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",260-2,Exists only as a minor allophone,,,261,2,,1
1099,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",260-4,Does not exist,,,261,4,,1
1100,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",261-1,Exists (as a major allophone),,,262,1,,1
1101,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",261-2,Exists only as a minor allophone,,,262,2,,1
1103,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",261-4,Does not exist,,,262,4,,1
1105,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",262-2,Exists only as a minor allophone,,,263,2,,1
1108,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",263-1,Exists (as a major allophone),,,264,1,,1
1109,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",263-2,Exists only as a minor allophone,,,264,2,,1
1111,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",263-4,Does not exist,,,264,4,,1
1112,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",264-1,Exists (as a major allophone),,,265,1,,1
1116,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",265-1,Exists (as a major allophone),,,266,1,,1
1117,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",265-2,Exists only as a minor allophone,,,266,2,,1
1120,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",266-1,Exists (as a major allophone),,,267,1,,1
1121,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",266-2,Exists only as a minor allophone,,,267,2,,1
1124,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",267-1,Exists (as a major allophone),,,268,1,,1
1125,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",267-2,Exists only as a minor allophone,,,268,2,,1
1126,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",267-3,Exists only in loanwords,,,268,3,,1
1127,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",267-4,Does not exist,,,268,4,,1
1128,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",268-1,Exists (as a major allophone),,,269,1,,1
1129,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",268-2,Exists only as a minor allophone,,,269,2,,1
1130,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",268-3,Exists only in loanwords,,,269,3,,1
1131,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",268-4,Does not exist,,,269,4,,1
1132,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",269-1,Exists (as a major allophone),,,270,1,,1
1136,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",270-1,Exists (as a major allophone),,,271,1,,1
1141,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",271-2,Exists only as a minor allophone,,,272,2,,1
1144,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",272-1,Exists (as a major allophone),,,273,1,,1
1145,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",272-2,Exists only as a minor allophone,,,273,2,,1
1147,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",272-4,Does not exist,,,273,4,,1
1148,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",273-1,Exists (as a major allophone),,,274,1,,1
1149,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",273-2,Exists only as a minor allophone,,,274,2,,1
1150,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",273-3,Exists only in loanwords,,,274,3,,1
1151,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",273-4,Does not exist,,,274,4,,1
1152,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",274-1,Exists (as a major allophone),,,275,1,,1
1153,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",274-2,Exists only as a minor allophone,,,275,2,,1
1155,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",274-4,Does not exist,,,275,4,,1
1156,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",275-1,Exists (as a major allophone),,,276,1,,1
1157,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",275-2,Exists only as a minor allophone,,,276,2,,1
1159,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",275-4,Does not exist,,,276,4,,1
1160,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",276-1,Exists (as a major allophone),,,277,1,,1
