pk,jsondata,value_pk,sentence_pk,description,version
1,,42,15808,,1
2,,55,15809,,1
3,,56,15810,,1
4,,57,15811,,1
5,,58,15812,,1
6,,59,15813,,1
7,,60,15814,,1
8,,61,15815,,1
9,,62,15816,,1
10,,63,15817,,1
11,,64,15818,,1
12,,65,15819,,1
13,,66,15820,,1
14,,67,15821,,1
15,,68,15822,,1
16,,69,15823,,1
17,,70,15824,,1
18,,71,15825,,1
19,,72,15826,,1
20,,73,15827,,1
21,,74,15828,,1
22,,75,15829,,1
23,,76,15830,,1
24,,77,15831,,1
25,,78,15832,,1
26,,79,15833,,1
27,,80,15834,,1
28,,81,15835,,1
29,,82,15836,,1
30,,83,15837,,1
31,,84,15838,,1
32,,85,15839,,1
33,,86,15840,,1
34,,87,15841,,1
35,,88,15842,,1
36,,89,15843,,1
37,,90,15844,,1
38,,91,15845,,1
39,,92,15846,,1
40,,93,15847,,1
41,,94,15848,,1
42,,95,15849,,1
43,,96,15850,,1
44,,97,15851,,1
45,,99,15852,,1
46,,101,15853,,1
47,,103,15854,,1
48,,110,15855,,1
49,,118,15856,,1
50,,120,15857,,1
51,,124,15858,,1
52,,125,15859,,1
53,,127,15860,,1
54,,128,15861,,1
55,,129,15862,,1
56,,134,15863,,1
57,,135,15864,,1
58,,138,15865,,1
59,,141,15866,,1
60,,143,15867,,1
61,,144,15868,,1
62,,145,15869,,1
63,,149,15870,,1
64,,151,15871,,1
65,,156,15872,,1
66,,159,15873,,1
67,,162,15874,,1
68,,188,15875,,1
69,,189,15876,,1
70,,190,15877,,1
71,,191,15878,,1
72,,193,15879,,1
73,,194,15880,,1
74,,195,15881,,1
75,,200,15882,,1
76,,201,15883,,1
77,,202,15884,,1
78,,203,15885,,1
79,,204,15886,,1
80,,205,15887,,1
81,,206,15888,,1
82,,207,15889,,1
83,,209,15890,,1
84,,210,15891,,1
85,,211,15892,,1
86,,212,15893,,1
87,,213,15894,,1
88,,216,15895,,1
89,,219,15896,,1
90,,221,15897,,1
91,,223,15898,,1
92,,225,15899,,1
93,,226,15900,,1
94,,227,15901,,1
95,,228,15902,,1
96,,231,15903,,1
97,,232,15904,,1
98,,234,15905,,1
99,,236,15906,,1
100,,237,15907,,1
101,,238,15908,,1
102,,244,15909,,1
103,,248,15910,,1
104,,249,15911,,1
105,,252,15912,,1
106,,255,15913,,1
107,,262,15914,,1
108,,263,15915,,1
109,,264,15916,,1
110,,266,15917,,1
111,,268,15918,,1
112,,269,15919,,1
113,,271,15920,,1
114,,276,15921,,1
115,,277,15922,,1
116,,281,15923,,1
117,,282,15924,,1
118,,284,15925,,1
119,,286,15926,,1
120,,288,15927,,1
121,,295,15928,,1
122,,296,15929,,1
123,,303,15930,,1
124,,310,15931,,1
125,,312,15932,,1
126,,314,15933,,1
127,,319,15934,,1
128,,320,15935,,1
129,,321,15936,,1
130,,324,15937,,1
131,,325,15938,,1
132,,327,15939,,1
133,,330,15940,,1
134,,331,15941,,1
135,,335,15942,,1
136,,342,15943,,1
137,,345,15944,,1
138,,348,15945,,1
139,,362,15946,,1
140,,374,15947,,1
141,,375,15948,,1
142,,376,15949,,1
143,,377,15950,,1
144,,378,15951,,1
145,,380,15952,,1
146,,381,15953,,1
147,,382,15954,,1
148,,385,15955,,1
149,,386,15956,,1
150,,388,15957,,1
151,,389,15958,,1
152,,397,15959,,1
153,,399,15960,,1
154,,403,15961,,1
155,,404,15962,,1
156,,406,15963,,1
157,,407,15964,,1
158,,408,15965,,1
159,,413,15966,,1
160,,414,15967,,1
161,,415,15968,,1
162,,417,15969,,1
163,,418,15970,,1
164,,419,15971,,1
165,,421,15972,,1
166,,423,15973,,1
167,,424,15974,,1
168,,425,15975,,1
169,,426,15976,,1
170,,429,15977,,1
171,,431,15978,,1
172,,432,15979,,1
173,,436,15980,,1
174,,437,15981,,1
175,,440,15982,,1
176,,442,15983,,1
177,,444,15984,,1
178,,447,15985,,1
179,,448,15986,,1
180,,457,15987,,1
181,,458,15988,,1
182,,464,15989,,1
183,,468,15990,,1
184,,469,15991,,1
185,,470,15992,,1
186,,471,15993,,1
187,,472,15994,,1
188,,473,15995,,1
189,,474,15996,,1
190,,476,15997,,1
191,,477,15998,,1
192,,478,15999,,1
193,,480,16000,,1
194,,481,16001,,1
195,,482,16002,,1
196,,484,16003,,1
197,,485,16004,,1
198,,488,16005,,1
199,,489,16006,,1
200,,490,16007,,1
201,,493,16008,,1
202,,495,16009,,1
203,,497,16010,,1
204,,498,16011,,1
205,,499,16012,,1
206,,500,16013,,1
207,,502,16014,,1
208,,503,16015,,1
209,,504,16016,,1
210,,509,16017,,1
211,,510,16018,,1
212,,511,16019,,1
213,,513,16020,,1
214,,514,16021,,1
215,,516,16022,,1
216,,517,16023,,1
217,,519,16024,,1
218,,521,16025,,1
219,,524,16026,,1
220,,525,16027,,1
221,,527,16028,,1
222,,529,16029,,1
223,,531,16030,,1
224,,532,16031,,1
225,,535,16032,,1
226,,537,16033,,1
227,,538,16034,,1
228,,540,16035,,1
229,,541,16036,,1
230,,542,16037,,1
231,,543,16038,,1
232,,544,16039,,1
233,,553,16040,,1
234,,564,16041,,1
235,,565,16042,,1
236,,566,16043,,1
237,,567,16044,,1
238,,568,16045,,1
239,,570,16046,,1
240,,572,16047,,1
241,,574,16048,,1
242,,581,16049,,1
243,,588,16050,,1
244,,589,16051,,1
245,,591,16052,,1
246,,595,16053,,1
247,,596,16054,,1
248,,598,16055,,1
249,,599,16056,,1
250,,600,16057,,1
251,,601,16058,,1
252,,603,16059,,1
253,,605,16060,,1
254,,606,16061,,1
255,,607,16062,,1
256,,610,16063,,1
257,,613,16064,,1
258,,615,16065,,1
259,,616,16066,,1
260,,617,16067,,1
261,,618,16068,,1
262,,619,16069,,1
263,,621,16070,,1
264,,622,16071,,1
265,,623,16072,,1
266,,627,16073,,1
267,,628,16074,,1
268,,630,16075,,1
269,,631,16076,,1
270,,633,16077,,1
271,,634,16078,,1
272,,635,16079,,1
273,,648,16080,,1
274,,659,16081,,1
275,,660,16082,,1
276,,661,16083,,1
277,,662,16084,,1
278,,664,16085,,1
279,,665,16086,,1
280,,666,16087,,1
281,,673,16088,,1
282,,675,16089,,1
283,,681,16090,,1
284,,683,16091,,1
285,,687,16092,,1
286,,688,16093,,1
287,,689,16094,,1
288,,690,16095,,1
289,,691,16096,,1
290,,692,16097,,1
291,,697,16098,,1
292,,698,16099,,1
293,,699,16100,,1
294,,702,16101,,1
295,,703,16102,,1
296,,704,16103,,1
297,,705,16104,,1
298,,707,16105,,1
299,,708,16106,,1
300,,709,16107,,1
301,,712,16108,,1
302,,713,16109,,1
303,,715,16110,,1
304,,717,16111,,1
305,,719,16112,,1
306,,720,16113,,1
307,,723,16114,,1
308,,725,16115,,1
309,,726,16116,,1
310,,728,16117,,1
311,,742,16118,,1
312,,745,16119,,1
313,,746,16120,,1
314,,747,16121,,1
315,,748,16122,,1
316,,750,16123,,1
317,,752,16124,,1
318,,753,16125,,1
319,,755,16126,,1
320,,757,16127,,1
321,,759,16128,,1
322,,766,16129,,1
323,,768,16130,,1
324,,774,16131,,1
325,,776,16132,,1
326,,780,16133,,1
327,,781,16134,,1
328,,783,16135,,1
329,,784,16136,,1
330,,785,16137,,1
331,,786,16138,,1
332,,790,16139,,1
333,,791,16140,,1
334,,792,16141,,1
335,,794,16142,,1
336,,795,16143,,1
337,,798,16144,,1
338,,800,16145,,1
339,,801,16146,,1
340,,803,16147,,1
341,,805,16148,,1
342,,808,16149,,1
343,,809,16150,,1
344,,813,16151,,1
345,,814,16152,,1
346,,817,16153,,1
347,,818,16154,,1
348,,819,16155,,1
349,,834,16156,,1
350,,835,16157,,1
351,,840,16158,,1
352,,841,16159,,1
353,,845,16160,,1
354,,846,16161,,1
355,,848,16162,,1
356,,850,16163,,1
357,,852,16164,,1
358,,853,16165,,1
359,,856,16166,,1
360,,859,16167,,1
361,,865,16168,,1
362,,869,16169,,1
363,,873,16170,,1
364,,876,16171,,1
365,,877,16172,,1
366,,880,16173,,1
367,,881,16174,,1
368,,883,16175,,1
369,,884,16176,,1
370,,885,16177,,1
371,,887,16178,,1
372,,888,16179,,1
373,,889,16180,,1
374,,891,16181,,1
375,,893,16182,,1
376,,894,16183,,1
377,,895,16184,,1
378,,898,16185,,1
379,,899,16186,,1
380,,901,16187,,1
381,,905,16188,,1
382,,906,16189,,1
383,,909,16190,,1
384,,912,16191,,1
385,,914,16192,,1
386,,928,16193,,1
387,,930,16194,,1
388,,931,16195,,1
389,,933,16196,,1
390,,934,16197,,1
391,,935,16198,,1
392,,936,16199,,1
393,,938,16200,,1
394,,939,16201,,1
395,,941,16202,,1
396,,943,16203,,1
397,,945,16204,,1
398,,952,16205,,1
399,,966,16206,,1
400,,967,16207,,1
401,,969,16208,,1
402,,970,16209,,1
403,,971,16210,,1
404,,972,16211,,1
405,,977,16212,,1
406,,978,16213,,1
407,,981,16214,,1
408,,982,16215,,1
409,,984,16216,,1
410,,986,16217,,1
411,,987,16218,,1
412,,988,16219,,1
413,,992,16220,,1
414,,999,16221,,1
415,,1002,16222,,1
416,,1005,16223,,1
417,,1009,16224,,1
418,,1031,16225,,1
419,,1032,16226,,1
420,,1033,16227,,1
421,,1034,16228,,1
422,,1035,16229,,1
423,,1037,16230,,1
424,,1038,16231,,1
425,,1039,16232,,1
426,,1040,16233,,1
427,,1041,16234,,1
428,,1042,16235,,1
429,,1043,16236,,1
430,,1044,16237,,1
431,,1045,16238,,1
432,,1046,16239,,1
433,,1047,16240,,1
434,,1048,16241,,1
435,,1049,16242,,1
436,,1050,16243,,1
437,,1051,16244,,1
438,,1052,16245,,1
439,,1053,16246,,1
440,,1054,16247,,1
441,,1056,16248,,1
442,,1057,16249,,1
443,,1058,16250,,1
444,,1059,16251,,1
445,,1060,16252,,1
446,,1061,16253,,1
447,,1062,16254,,1
448,,1063,16255,,1
449,,1065,16256,,1
450,,1066,16257,,1
451,,1067,16258,,1
452,,1068,16259,,1
453,,1069,16260,,1
454,,1070,16261,,1
455,,1071,16262,,1
456,,1072,16263,,1
457,,1073,16264,,1
458,,1074,16265,,1
459,,1075,16266,,1
460,,1077,16267,,1
461,,1078,16268,,1
462,,1079,16269,,1
463,,1080,16270,,1
464,,1081,16271,,1
465,,1083,16272,,1
466,,1085,16273,,1
467,,1087,16274,,1
468,,1092,16275,,1
469,,1094,16276,,1
470,,1102,16277,,1
471,,1104,16278,,1
472,,1108,16279,,1
473,,1109,16280,,1
474,,1111,16281,,1
475,,1112,16282,,1
476,,1113,16283,,1
477,,1118,16284,,1
478,,1119,16285,,1
479,,1120,16286,,1
480,,1122,16287,,1
