pk,jsondata,key,description,valueset_pk,source_pk,version
1,,1525,,284,1283,1
2,,1442,,296,1210,1
3,,1442,,314,1210,1
4,,1442,,324,1210,1
5,,1442,,331,1210,1
6,,1442,,335,1210,1
7,,1442,,345,1210,1
8,,1442,,348,1210,1
9,,1442,,362,1210,1
10,,1500,,483,1262,1
11,,1500,,493,1262,1
12,,1500,,495,1262,1
13,,1500,,516,1262,1
14,,1500,,522,1262,1
15,,1500,,526,1262,1
16,,1500,,528,1262,1
17,,1500,,529,1262,1
18,,1500,,532,1262,1
19,,1500,,533,1262,1
20,,1500,,536,1262,1
21,,1500,,539,1262,1
22,,1500,,540,1262,1
23,,1500,,542,1262,1
24,,719,,543,643,1
25,,719,,544,643,1
26,,1687,,553,1398,1
27,,1500,,564,1262,1
28,,1500,,565,1262,1
29,,1500,,566,1262,1
30,,370,,605,335,1
31,,370,,631,335,1
32,,970,,865,874,1
33,,970,,887,874,1
34,,970,,888,874,1
35,,970,,901,874,1
36,,970,,914,874,1
37,,661,,1112,594,1
38,,568,,1113,504,1
39,,1367,,1273,1148,1
40,,1367,,1312,1148,1
41,,214,,1502,197,1
42,,214,,1546,197,1
43,,1320,,1623,1106,1
44,,1735,,1643,1419,1
45,,498,,1679,453,1
46,,498,,1683,453,1
47,,498,,1696,453,1
48,,498,,1698,453,1
49,,498,,1700,453,1
50,,498,,1709,453,1
51,,498,,1710,453,1
52,,498,,1769,453,1
53,,1700,,1879,1403,1
54,,1701,,1901,1404,1
55,,1703,,1909,1406,1
56,,1700,,1924,1403,1
57,,326,,2277,298,1
58,,942,,2293,846,1
59,,1489,,2486,1253,1
60,,1489,,2493,1253,1
61,,597,,2501,531,1
62,,597,,2502,531,1
63,,597,,2503,531,1
64,,597,,2504,531,1
65,,1489,,2507,1253,1
66,,597,,2509,531,1
67,,597,,2510,531,1
68,,597,,2511,531,1
69,,1489,,2517,1253,1
70,,597,,2518,531,1
71,,597,,2519,531,1
72,,597,,2520,531,1
73,,597,,2522,531,1
74,,113,,2896,101,1
75,,1419,,3287,1187,1
76,,1419,,3288,1187,1
77,,1419,,3316,1187,1
78,,622,,3793,556,1
79,,531,,4194,472,1
80,,1277,,4681,1068,1
81,,1277,,4701,1068,1
82,,1277,,4711,1068,1
83,,1300,,4713,1090,1
84,,1300,,4715,1090,1
85,,1300,,4716,1090,1
86,,1300,,4717,1090,1
87,,1300,,4723,1090,1
88,,1277,,4744,1068,1
89,,1277,,4745,1068,1
90,,1300,,4748,1090,1
91,,1277,,4750,1068,1
92,,1277,,4756,1068,1
93,,1686,,5649,1397,1
94,,157,,5717,143,1
95,,938,,5766,842,1
96,,938,,5773,842,1
97,,938,,5776,842,1
98,,938,,5782,842,1
99,,938,,5784,842,1
100,,938,,5788,842,1
101,,938,,5789,842,1
102,,938,,5790,842,1
103,,938,,5791,842,1
104,,938,,5792,842,1
105,,938,,5793,842,1
106,,938,,5799,842,1
107,,938,,5800,842,1
108,,938,,5801,842,1
109,,938,,5803,842,1
110,,938,,5804,842,1
111,,938,,5805,842,1
112,,938,,5807,842,1
113,,938,,5808,842,1
114,,938,,5810,842,1
115,,938,,5811,842,1
116,,938,,5812,842,1
117,,938,,5816,842,1
118,,938,,5818,842,1
119,,938,,5824,842,1
120,,938,,5827,842,1
121,,938,,5830,842,1
122,,938,,5831,842,1
123,,938,,5833,842,1
124,,938,,5835,842,1
125,,938,,5844,842,1
126,,938,,5851,842,1
127,,1431,,6208,1199,1
128,,1737,,6243,1421,1
129,,1737,,6246,1421,1
130,,1431,,6288,1199,1
131,,1431,,6289,1199,1
132,,1431,,6291,1199,1
133,,1431,,6292,1199,1
134,,1431,,6293,1199,1
135,,938,,16524,842,1
136,,970,,16546,874,1
137,,1277,,16556,1068,1
138,,1489,,16604,1253,1
139,,214,,16642,197,1
140,,1735,,16645,1419,1
141,,1701,,16672,1404,1
142,,942,,16675,846,1
143,,938,,16676,842,1
144,,370,,16695,335,1
145,,938,,16752,842,1
146,,1489,,16756,1253,1
147,,661,,16786,594,1
148,,432,,7934,395,1
149,,432,42,7934,395,1
150,,439,,7935,402,1
151,,432,,7940,395,1
152,,441,,7942,404,1
153,,432,,7943,395,1
154,,432,,7944,395,1
155,,432,,7945,395,1
156,,432,,7946,395,1
157,,432,,7949,395,1
158,,432,,7951,395,1
159,,432,,7952,395,1
160,,429,,7954,393,1
161,,432,,7960,395,1
162,,438,,7961,401,1
163,,439,,7962,402,1
164,,442,,7980,405,1
165,,438,,7981,401,1
166,,445,,7982,408,1
167,,445,,7983,408,1
168,,434,,7984,397,1
169,,432,,7985,395,1
170,,445,,7987,408,1
171,,441,,7995,404,1
172,,432,,8010,395,1
173,,432,,8011,395,1
174,,438,,8013,401,1
175,,432,,8024,395,1
176,,445,,8025,408,1
177,,439,,8026,402,1
178,,429,,8031,393,1
179,,439,237,7928,402,1
180,,439,237,7932,402,1
181,,439,237,7933,402,1
182,,432,35,7928,395,1
183,,429,,8034,393,1
184,,432,,8038,395,1
185,,445,,8040,408,1
186,,432,41,7936,395,1
187,,432,,7948,395,1
188,,438,,7953,401,1
189,,432,,7955,395,1
190,,438,,7956,401,1
191,,429,,7958,393,1
192,,429,,7959,393,1
193,,432,,7963,395,1
194,,438,,7966,401,1
195,,432,,7967,395,1
196,,439,,7968,402,1
197,,439,,7969,402,1
198,,432,,7970,395,1
199,,445,,7971,408,1
200,,439,,7972,402,1
201,,439,,7973,402,1
202,,445,,7974,408,1
203,,442,,7977,405,1
204,,432,,7978,395,1
205,,445,,7979,408,1
206,,441,,7992,404,1
207,,438,,7993,401,1
208,,438,,7994,401,1
209,,445,,8008,408,1
210,,429,,8009,393,1
211,,432,,8027,395,1
212,,438,,8028,401,1
213,,432,36,7976,395,1
214,,432,,7938,395,1
215,,432,,7941,395,1
216,,429,,7950,393,1
217,,439,,7964,402,1
218,,445,,7965,408,1
219,,432,,7975,395,1
220,,438,,7986,401,1
221,,438,,7988,401,1
222,,432,,7989,395,1
223,,432,,7990,395,1
224,,432,,7991,395,1
225,,439,,7997,402,1
226,,445,,7998,408,1
227,,432,,7999,395,1
228,,445,,8000,408,1
229,,445,,8001,408,1
230,,432,,8002,395,1
231,,432,,8003,395,1
232,,432,,8004,395,1
233,,438,,8005,401,1
234,,438,,8006,401,1
235,,445,,8007,408,1
236,,445,,8015,408,1
237,,439,,8016,402,1
238,,439,,8017,402,1
239,,445,,8018,408,1
240,,445,,8019,408,1
241,,438,,8020,401,1
242,,441,,8021,404,1
243,,432,,8022,395,1
244,,432,,8023,395,1
245,,432,,8029,395,1
246,,432,,8030,395,1
247,,438,,7996,401,1
248,,439,,7924,402,1
