pk,jsondata,id,name,description,markup_description,ord,mime_type,object_pk,version
1,"{""mimetype"": ""application/pdf"", ""size"": 687741, ""original"": ""APiCS_f_0.pdf"", ""objid"": ""EAEA0-A141-45A0-BA9C-0""}",APiCS_f_0.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,1,1
2,"{""mimetype"": ""application/pdf"", ""size"": 1021149, ""original"": ""APiCS_f_1.pdf"", ""objid"": ""EAEA0-32D0-3180-74A3-0""}",APiCS_f_1.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,2,1
3,"{""mimetype"": ""application/pdf"", ""size"": 1031465, ""original"": ""APiCS_f_2.pdf"", ""objid"": ""EAEA0-9C8F-6F59-79F3-0""}",APiCS_f_2.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,3,1
4,"{""mimetype"": ""application/pdf"", ""size"": 1041492, ""original"": ""APiCS_f_3.pdf"", ""objid"": ""EAEA0-41EC-7A1A-3FCF-0""}",APiCS_f_3.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,4,1
5,"{""mimetype"": ""application/pdf"", ""size"": 1012041, ""original"": ""APiCS_f_4.pdf"", ""objid"": ""EAEA0-5F98-BF94-18FB-0""}",APiCS_f_4.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,5,1
6,"{""mimetype"": ""application/pdf"", ""size"": 1021568, ""original"": ""APiCS_f_5.pdf"", ""objid"": ""EAEA0-A37F-EC51-3817-0""}",APiCS_f_5.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,6,1
7,"{""mimetype"": ""application/pdf"", ""size"": 1008126, ""original"": ""APiCS_f_6.pdf"", ""objid"": ""EAEA0-F8A1-9173-A91A-0""}",APiCS_f_6.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,7,1
8,"{""mimetype"": ""application/pdf"", ""size"": 991162, ""original"": ""APiCS_f_7.pdf"", ""objid"": ""EAEA0-2D91-CFE5-A6AF-0""}",APiCS_f_7.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,8,1
9,"{""mimetype"": ""application/pdf"", ""size"": 1005507, ""original"": ""APiCS_f_8.pdf"", ""objid"": ""EAEA0-EA7C-519D-B0E4-0""}",APiCS_f_8.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,9,1
10,"{""mimetype"": ""application/pdf"", ""size"": 689529, ""original"": ""APiCS_f_9.pdf"", ""objid"": ""EAEA0-14C7-07D4-10D6-0""}",APiCS_f_9.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,10,1
11,"{""mimetype"": ""application/pdf"", ""size"": 563580, ""original"": ""APiCS_f_s_10.pdf"", ""objid"": ""EAEA0-2900-918B-5020-0""}",APiCS_f_s_10.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,11,1
12,"{""mimetype"": ""application/pdf"", ""size"": 735048, ""original"": ""APiCS_f_11.pdf"", ""objid"": ""EAEA0-C308-2F74-83E9-0""}",APiCS_f_11.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,12,1
13,"{""mimetype"": ""application/pdf"", ""size"": 1025176, ""original"": ""APiCS_f_12.pdf"", ""objid"": ""EAEA0-95BF-9C34-671B-0""}",APiCS_f_12.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,13,1
14,"{""mimetype"": ""application/pdf"", ""size"": 967255, ""original"": ""APiCS_f_13.pdf"", ""objid"": ""EAEA0-13A3-1500-0F55-0""}",APiCS_f_13.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,14,1
15,"{""mimetype"": ""application/pdf"", ""size"": 685606, ""original"": ""APiCS_f_14.pdf"", ""objid"": ""EAEA0-6059-D054-F89D-0""}",APiCS_f_14.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,15,1
16,"{""mimetype"": ""application/pdf"", ""size"": 570113, ""original"": ""APiCS_f_s_15.pdf"", ""objid"": ""EAEA0-80C6-85FE-52AF-0""}",APiCS_f_s_15.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,16,1
17,"{""mimetype"": ""application/pdf"", ""size"": 685658, ""original"": ""APiCS_f_16.pdf"", ""objid"": ""EAEA0-369B-89F9-EE63-0""}",APiCS_f_16.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,17,1
18,"{""mimetype"": ""application/pdf"", ""size"": 685750, ""original"": ""APiCS_f_17.pdf"", ""objid"": ""EAEA0-40B0-3B75-9FCA-0""}",APiCS_f_17.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,18,1
19,"{""mimetype"": ""application/pdf"", ""size"": 957774, ""original"": ""APiCS_f_18.pdf"", ""objid"": ""EAEA0-F5B1-37AB-B895-0""}",APiCS_f_18.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,19,1
20,"{""mimetype"": ""application/pdf"", ""size"": 685805, ""original"": ""APiCS_f_19.pdf"", ""objid"": ""EAEA0-403F-2F9B-361A-0""}",APiCS_f_19.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,20,1
21,"{""mimetype"": ""application/pdf"", ""size"": 695250, ""original"": ""APiCS_f_20.pdf"", ""objid"": ""EAEA0-1F40-5763-17BB-0""}",APiCS_f_20.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,21,1
22,"{""mimetype"": ""application/pdf"", ""size"": 973687, ""original"": ""APiCS_f_21.pdf"", ""objid"": ""EAEA0-C6BB-94E8-C504-0""}",APiCS_f_21.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,22,1
23,"{""mimetype"": ""application/pdf"", ""size"": 960142, ""original"": ""APiCS_f_22.pdf"", ""objid"": ""EAEA0-C411-0953-2630-0""}",APiCS_f_22.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,23,1
24,"{""mimetype"": ""application/pdf"", ""size"": 1138149, ""original"": ""APiCS_f_23.pdf"", ""objid"": ""EAEA0-7047-A277-ADB2-0""}",APiCS_f_23.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,24,1
25,"{""mimetype"": ""application/pdf"", ""size"": 685555, ""original"": ""APiCS_f_24.pdf"", ""objid"": ""EAEA0-0B1B-5EA8-0F1F-0""}",APiCS_f_24.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,25,1
26,"{""mimetype"": ""application/pdf"", ""size"": 685877, ""original"": ""APiCS_f_25.pdf"", ""objid"": ""EAEA0-836D-CD48-5440-0""}",APiCS_f_25.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,26,1
27,"{""mimetype"": ""application/pdf"", ""size"": 685928, ""original"": ""APiCS_f_26.pdf"", ""objid"": ""EAEA0-C0DD-A765-1C89-0""}",APiCS_f_26.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,27,1
28,"{""mimetype"": ""application/pdf"", ""size"": 575320, ""original"": ""APiCS_f_s_27.pdf"", ""objid"": ""EAEA0-D5BE-63EC-8F75-0""}",APiCS_f_s_27.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,28,1
29,"{""mimetype"": ""application/pdf"", ""size"": 974529, ""original"": ""APiCS_f_28.pdf"", ""objid"": ""EAEA0-DADB-46FC-BE46-0""}",APiCS_f_28.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,29,1
30,"{""mimetype"": ""application/pdf"", ""size"": 972683, ""original"": ""APiCS_f_29.pdf"", ""objid"": ""EAEA0-CA48-012F-51F7-0""}",APiCS_f_29.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,30,1
31,"{""mimetype"": ""application/pdf"", ""size"": 712345, ""original"": ""APiCS_f_30.pdf"", ""objid"": ""EAEA0-2C60-BB08-C1E4-0""}",APiCS_f_30.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,31,1
32,"{""mimetype"": ""application/pdf"", ""size"": 693071, ""original"": ""APiCS_f_31.pdf"", ""objid"": ""EAEA0-612F-8FFA-6DB7-0""}",APiCS_f_31.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,32,1
33,"{""mimetype"": ""application/pdf"", ""size"": 957754, ""original"": ""APiCS_f_32.pdf"", ""objid"": ""EAEA0-A50C-2796-FDD9-0""}",APiCS_f_32.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,33,1
34,"{""mimetype"": ""application/pdf"", ""size"": 959619, ""original"": ""APiCS_f_33.pdf"", ""objid"": ""EAEA0-64DC-CE52-A5C1-0""}",APiCS_f_33.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,34,1
35,"{""mimetype"": ""application/pdf"", ""size"": 954132, ""original"": ""APiCS_f_34.pdf"", ""objid"": ""EAEA0-4909-7947-7EBF-0""}",APiCS_f_34.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,35,1
36,"{""mimetype"": ""application/pdf"", ""size"": 974229, ""original"": ""APiCS_f_35.pdf"", ""objid"": ""EAEA0-B3E7-243E-90AC-0""}",APiCS_f_35.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,36,1
37,"{""mimetype"": ""application/pdf"", ""size"": 553216, ""original"": ""APiCS_f_s_36.pdf"", ""objid"": ""EAEA0-2743-79AA-7095-0""}",APiCS_f_s_36.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,37,1
38,"{""mimetype"": ""application/pdf"", ""size"": 723273, ""original"": ""APiCS_f_37.pdf"", ""objid"": ""EAEA0-2CCE-A67A-98C4-0""}",APiCS_f_37.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,38,1
39,"{""mimetype"": ""application/pdf"", ""size"": 992066, ""original"": ""APiCS_f_38.pdf"", ""objid"": ""EAEA0-2F99-3D2C-2AE1-0""}",APiCS_f_38.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,39,1
40,"{""mimetype"": ""application/pdf"", ""size"": 696210, ""original"": ""APiCS_f_39.pdf"", ""objid"": ""EAEA0-176F-FB7B-D8D6-0""}",APiCS_f_39.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,40,1
41,"{""mimetype"": ""application/pdf"", ""size"": 685707, ""original"": ""APiCS_f_40.pdf"", ""objid"": ""EAEA0-7835-2964-0F3E-0""}",APiCS_f_40.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,41,1
42,"{""mimetype"": ""application/pdf"", ""size"": 710669, ""original"": ""APiCS_f_41.pdf"", ""objid"": ""EAEA0-40F3-254E-C5FF-0""}",APiCS_f_41.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,42,1
43,"{""mimetype"": ""application/pdf"", ""size"": 1067327, ""original"": ""APiCS_f_42.pdf"", ""objid"": ""EAEA0-1EC9-D11E-C515-0""}",APiCS_f_42.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,43,1
