pk,jsondata,id,name,description,markup_description,ord,mime_type,object_pk,version
44,"{""mimetype"": ""application/pdf"", ""size"": 726974, ""original"": ""APiCS_f_43.pdf"", ""objid"": ""EAEA0-4752-A371-5CE2-0""}",APiCS_f_43.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,44,1
45,"{""mimetype"": ""application/pdf"", ""size"": 687029, ""original"": ""APiCS_f_44.pdf"", ""objid"": ""EAEA0-57CA-69D4-694C-0""}",APiCS_f_44.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,45,1
46,"{""mimetype"": ""application/pdf"", ""size"": 686106, ""original"": ""APiCS_f_45.pdf"", ""objid"": ""EAEA0-43E2-A11E-B5EA-0""}",APiCS_f_45.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,46,1
47,"{""mimetype"": ""application/pdf"", ""size"": 685933, ""original"": ""APiCS_f_46.pdf"", ""objid"": ""EAEA0-FC86-13FF-D850-0""}",APiCS_f_46.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,47,1
48,"{""mimetype"": ""application/pdf"", ""size"": 686997, ""original"": ""APiCS_f_47.pdf"", ""objid"": ""EAEA0-3D4A-1FB3-4485-0""}",APiCS_f_47.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,48,1
49,"{""mimetype"": ""application/pdf"", ""size"": 700211, ""original"": ""APiCS_f_48.pdf"", ""objid"": ""EAEA0-5266-C2D4-A945-0""}",APiCS_f_48.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,49,1
50,"{""mimetype"": ""application/pdf"", ""size"": 685721, ""original"": ""APiCS_f_49.pdf"", ""objid"": ""EAEA0-2977-F4E7-654F-0""}",APiCS_f_49.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,50,1
51,"{""mimetype"": ""application/pdf"", ""size"": 685551, ""original"": ""APiCS_f_50.pdf"", ""objid"": ""EAEA0-19E5-447B-4845-0""}",APiCS_f_50.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,51,1
52,"{""mimetype"": ""application/pdf"", ""size"": 685681, ""original"": ""APiCS_f_51.pdf"", ""objid"": ""EAEA0-B82E-071B-1451-0""}",APiCS_f_51.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,52,1
53,"{""mimetype"": ""application/pdf"", ""size"": 685807, ""original"": ""APiCS_f_52.pdf"", ""objid"": ""EAEA0-5C04-48CD-124B-0""}",APiCS_f_52.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,53,1
54,"{""mimetype"": ""application/pdf"", ""size"": 684952, ""original"": ""APiCS_f_53.pdf"", ""objid"": ""EAEA0-BE97-14C5-4368-0""}",APiCS_f_53.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,54,1
55,"{""mimetype"": ""application/pdf"", ""size"": 989794, ""original"": ""APiCS_f_54.pdf"", ""objid"": ""EAEA0-EC76-DC91-7F12-0""}",APiCS_f_54.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,55,1
56,"{""mimetype"": ""application/pdf"", ""size"": 685677, ""original"": ""APiCS_f_55.pdf"", ""objid"": ""EAEA0-4C39-A471-3180-0""}",APiCS_f_55.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,56,1
57,"{""mimetype"": ""application/pdf"", ""size"": 980745, ""original"": ""APiCS_f_56.pdf"", ""objid"": ""EAEA0-E3A4-55BF-B5B3-0""}",APiCS_f_56.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,57,1
58,"{""mimetype"": ""application/pdf"", ""size"": 685815, ""original"": ""APiCS_f_57.pdf"", ""objid"": ""EAEA0-0FA2-584A-6C0C-0""}",APiCS_f_57.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,58,1
59,"{""mimetype"": ""application/pdf"", ""size"": 553297, ""original"": ""APiCS_f_s_58.pdf"", ""objid"": ""EAEA0-234F-C3E8-8A59-0""}",APiCS_f_s_58.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,59,1
60,"{""mimetype"": ""application/pdf"", ""size"": 954170, ""original"": ""APiCS_f_59.pdf"", ""objid"": ""EAEA0-8BC6-6C8E-8826-0""}",APiCS_f_59.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,60,1
61,"{""mimetype"": ""application/pdf"", ""size"": 992581, ""original"": ""APiCS_f_60.pdf"", ""objid"": ""EAEA0-0ACB-37AC-7DC5-0""}",APiCS_f_60.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,61,1
62,"{""mimetype"": ""application/pdf"", ""size"": 728634, ""original"": ""APiCS_f_61.pdf"", ""objid"": ""EAEA0-3377-3780-2D41-0""}",APiCS_f_61.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,62,1
63,"{""mimetype"": ""application/pdf"", ""size"": 983644, ""original"": ""APiCS_f_62.pdf"", ""objid"": ""EAEA0-DC1B-22A1-2D3A-0""}",APiCS_f_62.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,63,1
64,"{""mimetype"": ""application/pdf"", ""size"": 692488, ""original"": ""APiCS_f_63.pdf"", ""objid"": ""EAEA0-221C-929E-A7F8-0""}",APiCS_f_63.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,64,1
65,"{""mimetype"": ""application/pdf"", ""size"": 704197, ""original"": ""APiCS_f_64.pdf"", ""objid"": ""EAEA0-C906-6D1E-6F35-0""}",APiCS_f_64.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,65,1
66,"{""mimetype"": ""application/pdf"", ""size"": 703640, ""original"": ""APiCS_f_65.pdf"", ""objid"": ""EAEA0-D494-C457-5BC1-0""}",APiCS_f_65.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,66,1
67,"{""mimetype"": ""application/pdf"", ""size"": 710210, ""original"": ""APiCS_f_66.pdf"", ""objid"": ""EAEA0-9FA4-9DB3-3FA0-0""}",APiCS_f_66.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,67,1
68,"{""mimetype"": ""application/pdf"", ""size"": 702197, ""original"": ""APiCS_f_67.pdf"", ""objid"": ""EAEA0-1DAF-313A-2712-0""}",APiCS_f_67.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,68,1
69,"{""mimetype"": ""application/pdf"", ""size"": 713594, ""original"": ""APiCS_f_68.pdf"", ""objid"": ""EAEA0-DDC3-0CFB-8E6E-0""}",APiCS_f_68.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,69,1
70,"{""mimetype"": ""application/pdf"", ""size"": 717594, ""original"": ""APiCS_f_69.pdf"", ""objid"": ""EAEA0-87EA-16C5-DDCA-0""}",APiCS_f_69.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,70,1
71,"{""mimetype"": ""application/pdf"", ""size"": 964755, ""original"": ""APiCS_f_70.pdf"", ""objid"": ""EAEA0-5701-E9F9-9D8E-0""}",APiCS_f_70.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,71,1
72,"{""mimetype"": ""application/pdf"", ""size"": 959567, ""original"": ""APiCS_f_71.pdf"", ""objid"": ""EAEA0-5764-266E-D9F3-0""}",APiCS_f_71.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,72,1
73,"{""mimetype"": ""application/pdf"", ""size"": 1074671, ""original"": ""APiCS_f_72.pdf"", ""objid"": ""EAEA0-8522-2919-3E7C-0""}",APiCS_f_72.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,73,1
74,"{""mimetype"": ""application/pdf"", ""size"": 1089015, ""original"": ""APiCS_f_73.pdf"", ""objid"": ""EAEA0-FA0F-9340-8939-0""}",APiCS_f_73.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,74,1
75,"{""mimetype"": ""application/pdf"", ""size"": 685726, ""original"": ""APiCS_f_74.pdf"", ""objid"": ""EAEA0-089A-651C-A614-0""}",APiCS_f_74.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,75,1
76,"{""mimetype"": ""application/pdf"", ""size"": 685746, ""original"": ""APiCS_f_75.pdf"", ""objid"": ""EAEA0-7F8E-312D-918A-0""}",APiCS_f_75.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,76,1
77,"{""mimetype"": ""application/pdf"", ""size"": 1049707, ""original"": ""APiCS_f_76.pdf"", ""objid"": ""EAEA0-93FB-DCA7-D35E-0""}",APiCS_f_76.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,77,1
78,"{""mimetype"": ""application/pdf"", ""size"": 984209, ""original"": ""APiCS_f_77.pdf"", ""objid"": ""EAEA0-2D59-9E85-FD78-0""}",APiCS_f_77.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,78,1
79,"{""mimetype"": ""application/pdf"", ""size"": 685813, ""original"": ""APiCS_f_78.pdf"", ""objid"": ""EAEA0-6667-CE2A-77EC-0""}",APiCS_f_78.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,79,1
80,"{""mimetype"": ""application/pdf"", ""size"": 728519, ""original"": ""APiCS_f_79.pdf"", ""objid"": ""EAEA0-C183-0611-9DB9-0""}",APiCS_f_79.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,80,1
81,"{""mimetype"": ""application/pdf"", ""size"": 703780, ""original"": ""APiCS_f_80.pdf"", ""objid"": ""EAEA0-F8BD-10CA-CB6D-0""}",APiCS_f_80.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,81,1
82,"{""mimetype"": ""application/pdf"", ""size"": 685771, ""original"": ""APiCS_f_81.pdf"", ""objid"": ""EAEA0-5A53-B888-1BF6-0""}",APiCS_f_81.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,82,1
83,"{""mimetype"": ""application/pdf"", ""size"": 705348, ""original"": ""APiCS_f_82.pdf"", ""objid"": ""EAEA0-68F4-1139-912B-0""}",APiCS_f_82.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,83,1
84,"{""mimetype"": ""application/pdf"", ""size"": 698781, ""original"": ""APiCS_f_83.pdf"", ""objid"": ""EAEA0-606C-106F-C4C6-0""}",APiCS_f_83.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,84,1
85,"{""mimetype"": ""application/pdf"", ""size"": 685543, ""original"": ""APiCS_f_84.pdf"", ""objid"": ""EAEA0-D7C6-71AE-F80D-0""}",APiCS_f_84.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,85,1
86,"{""mimetype"": ""application/pdf"", ""size"": 722853, ""original"": ""APiCS_f_85.pdf"", ""objid"": ""EAEA0-B7FB-DB0B-2E73-0""}",APiCS_f_85.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,86,1
87,"{""mimetype"": ""application/pdf"", ""size"": 685806, ""original"": ""APiCS_f_86.pdf"", ""objid"": ""EAEA0-4EE3-E4E8-0828-0""}",APiCS_f_86.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,87,1
88,"{""mimetype"": ""application/pdf"", ""size"": 724266, ""original"": ""APiCS_f_87.pdf"", ""objid"": ""EAEA0-7DB7-8206-B0D8-0""}",APiCS_f_87.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,88,1
89,"{""mimetype"": ""application/pdf"", ""size"": 1020429, ""original"": ""APiCS_f_88.pdf"", ""objid"": ""EAEA0-6FFA-46B7-2D8B-0""}",APiCS_f_88.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,89,1
90,"{""mimetype"": ""application/pdf"", ""size"": 1062316, ""original"": ""APiCS_f_89.pdf"", ""objid"": ""EAEA0-1FBE-355C-21BC-0""}",APiCS_f_89.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,90,1
91,"{""mimetype"": ""application/pdf"", ""size"": 702149, ""original"": ""APiCS_f_90.pdf"", ""objid"": ""EAEA0-0C67-D001-2251-0""}",APiCS_f_90.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,91,1
92,"{""mimetype"": ""application/pdf"", ""size"": 553347, ""original"": ""APiCS_f_s_91.pdf"", ""objid"": ""EAEA0-F901-17ED-E47C-0""}",APiCS_f_s_91.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,92,1
93,"{""mimetype"": ""application/pdf"", ""size"": 1087023, ""original"": ""APiCS_f_92.pdf"", ""objid"": ""EAEA0-5896-157C-E79D-0""}",APiCS_f_92.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,93,1
94,"{""mimetype"": ""application/pdf"", ""size"": 735573, ""original"": ""APiCS_f_93.pdf"", ""objid"": ""EAEA0-1B1F-B55B-39F5-0""}",APiCS_f_93.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,94,1
95,"{""mimetype"": ""application/pdf"", ""size"": 712509, ""original"": ""APiCS_f_94.pdf"", ""objid"": ""EAEA0-599F-BE5C-9A39-0""}",APiCS_f_94.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,95,1
96,"{""mimetype"": ""application/pdf"", ""size"": 740386, ""original"": ""APiCS_f_95.pdf"", ""objid"": ""EAEA0-1F56-4901-DC8D-0""}",APiCS_f_95.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,96,1
97,"{""mimetype"": ""application/pdf"", ""size"": 728516, ""original"": ""APiCS_f_96.pdf"", ""objid"": ""EAEA0-9FFC-882F-6E82-0""}",APiCS_f_96.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,97,1
98,"{""mimetype"": ""application/pdf"", ""size"": 976796, ""original"": ""APiCS_f_97.pdf"", ""objid"": ""EAEA0-9C22-110E-DC86-0""}",APiCS_f_97.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,98,1
99,"{""mimetype"": ""application/pdf"", ""size"": 685728, ""original"": ""APiCS_f_98.pdf"", ""objid"": ""EAEA0-5A0E-A613-178B-0""}",APiCS_f_98.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,99,1
100,"{""mimetype"": ""application/pdf"", ""size"": 570006, ""original"": ""APiCS_f_s_99.pdf"", ""objid"": ""EAEA0-334F-D77F-0257-0""}",APiCS_f_s_99.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,100,1
101,"{""mimetype"": ""application/pdf"", ""size"": 1015834, ""original"": ""APiCS_f_100.pdf"", ""objid"": ""EAEA0-6C98-9723-73A9-0""}",APiCS_f_100.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,101,1
102,"{""mimetype"": ""application/pdf"", ""size"": 692491, ""original"": ""APiCS_f_101.pdf"", ""objid"": ""EAEA0-A264-A054-FB7C-0""}",APiCS_f_101.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,102,1
103,"{""mimetype"": ""application/pdf"", ""size"": 966592, ""original"": ""APiCS_f_102.pdf"", ""objid"": ""EAEA0-7408-B0E4-0FA8-0""}",APiCS_f_102.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,103,1
104,"{""mimetype"": ""application/pdf"", ""size"": 1386716, ""original"": ""APiCS_f_103.pdf"", ""objid"": ""EAEA0-0A09-DAE4-0D83-0""}",APiCS_f_103.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,104,1
105,"{""mimetype"": ""application/pdf"", ""size"": 713202, ""original"": ""APiCS_f_104.pdf"", ""objid"": ""EAEA0-4744-B146-76F0-0""}",APiCS_f_104.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,105,1
106,"{""mimetype"": ""application/pdf"", ""size"": 685426, ""original"": ""APiCS_f_105.pdf"", ""objid"": ""EAEA0-6249-7880-F3C7-0""}",APiCS_f_105.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,106,1
107,"{""mimetype"": ""application/pdf"", ""size"": 714517, ""original"": ""APiCS_f_106.pdf"", ""objid"": ""EAEA0-0847-DA76-B7BF-0""}",APiCS_f_106.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,107,1
108,"{""mimetype"": ""application/pdf"", ""size"": 685505, ""original"": ""APiCS_f_107.pdf"", ""objid"": ""EAEA0-4AC3-E3B7-3FDA-0""}",APiCS_f_107.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,108,1
109,"{""mimetype"": ""application/pdf"", ""size"": 985590, ""original"": ""APiCS_f_108.pdf"", ""objid"": ""EAEA0-BA04-EFBC-9D57-0""}",APiCS_f_108.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,109,1
110,"{""mimetype"": ""application/pdf"", ""size"": 685623, ""original"": ""APiCS_f_109.pdf"", ""objid"": ""EAEA0-C6C6-987B-8B1F-0""}",APiCS_f_109.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,110,1
111,"{""mimetype"": ""application/pdf"", ""size"": 685622, ""original"": ""APiCS_f_110.pdf"", ""objid"": ""EAEA0-FDA5-24FB-1732-0""}",APiCS_f_110.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,111,1
112,"{""mimetype"": ""application/pdf"", ""size"": 697747, ""original"": ""APiCS_f_111.pdf"", ""objid"": ""EAEA0-B693-A37F-8922-0""}",APiCS_f_111.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,112,1
113,"{""mimetype"": ""application/pdf"", ""size"": 1247773, ""original"": ""APiCS_f_112.pdf"", ""objid"": ""EAEA0-DE7F-E0B6-39DB-0""}",APiCS_f_112.pdf,Feature map in Gall-Peters projection,,,1,application/pdf,113,1
