pk,feature_type,multivalued,wals_id,wals_representation,representation,area
1,primary,t,,,76,
2,primary,t,81,1377,78,Word order
3,primary,t,86,1248,77,Word order
4,primary,t,87,1366,76,Word order
5,primary,t,85,1185,77,Word order
6,primary,t,88,1223,79,Word order
7,primary,t,89,1154,76,Word order
8,primary,t,90,825,76,Word order
9,primary,t,91,481,77,Word order
10,primary,t,,,78,Word order
11,primary,t,,,76,Word order
12,primary,t,,,70,Word order
13,primary,t,93,901,76,Word order
14,primary,f,44,378,80,Nominal categories
15,primary,f,,,76,Nominal categories
16,primary,f,39,200,76,Nominal categories
17,primary,f,,,76,Nominal categories
18,primary,f,,,77,Nominal categories
19,primary,f,45,207,75,Nominal categories
20,primary,f,,,76,Nominal categories
21,primary,t,,,71,Nominal categories
22,primary,t,46,326,75,Nominal categories
23,primary,f,34,291,79,Nominal categories
24,primary,t,33,1066,78,Nominal categories
25,primary,t,,,72,Nominal categories
26,primary,f,,,76,Nominal categories
27,primary,f,,,77,Nominal categories
28,primary,t,,,74,Nominal categories
29,primary,f,37,620,79,Nominal categories
30,primary,f,38,534,76,Nominal categories
31,primary,t,,,78,Nominal categories
32,primary,t,,,79,Nominal categories
33,primary,f,42,201,78,Nominal categories
34,primary,f,41,234,75,Nominal categories
35,primary,t,54,251,72,Nominal categories
36,primary,t,53,321,70,Nominal categories
37,primary,f,55,400,76,Nominal categories
38,primary,t,,,77,Nominal syntax
39,primary,t,24,236,79,Nominal syntax
40,primary,t,,,73,Nominal syntax
41,primary,f,,,80,Nominal syntax
42,primary,t,,,79,Nominal syntax
43,primary,t,121,167,78,Nominal syntax
44,primary,t,,,76,Verbal categories
45,primary,t,,,73,Verbal categories
46,primary,f,,,76,Verbal categories
47,primary,f,,,75,Verbal categories
48,primary,t,,,77,Verbal categories
49,primary,t,,,77,Verbal categories
50,primary,f,,,76,Verbal categories
51,primary,f,,,72,Verbal categories
52,primary,f,,,74,Verbal categories
53,primary,f,,,74,Verbal categories
54,primary,f,,,66,Verbal categories
55,primary,f,79,193,76,Verbal categories
56,primary,f,,,76,Verbal categories
57,primary,t,71,495,77,Verbal categories
58,primary,f,,,76,Argument marking
59,primary,f,98,190,76,Argument marking
60,primary,f,99,172,76,Argument marking
61,primary,t,105,378,78,Argument marking
62,primary,t,,,75,Argument marking
63,primary,f,101,711,76,Argument marking
64,primary,t,,,69,Argument marking
65,primary,t,,,77,Argument marking
66,primary,t,,,74,Argument marking
67,primary,t,,,72,Argument marking
68,primary,t,,,73,Argument marking
69,primary,t,,,72,Argument marking
70,primary,t,,,76,Argument marking
71,primary,f,52,322,75,Argument marking
72,primary,f,63,234,77,Argument marking
73,primary,f,64,301,75,Argument marking
74,primary,f,120,386,79,Clausal syntax
75,primary,f,,,78,Clausal syntax
76,primary,f,,,78,Clausal syntax
77,primary,f,119,386,77,Clausal syntax
78,primary,t,117,240,76,Clausal syntax
79,primary,f,,,76,Clausal syntax
80,primary,t,,,81,Clausal syntax
81,primary,t,,,75,Clausal syntax
82,primary,f,,,76,Clausal syntax
83,primary,t,,,65,Clausal syntax
84,primary,t,,,66,Clausal syntax
85,primary,f,,,75,Clausal syntax
86,primary,t,,,76,Clausal syntax
87,primary,f,,,75,Clausal syntax
88,primary,t,,,73,Clausal syntax
89,primary,f,47,168,72,Clausal syntax
90,primary,f,106,175,70,Clausal syntax
91,primary,t,,,79,Clausal syntax
92,primary,f,109,183,75,Clausal syntax
93,primary,t,122,166,79,Complex sentences
